Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.1614,0.1445,0.5864,0.787
1,2,0.0793,0.0346,0.8222,0.9093
1,3,0.0307,0.0185,0.9012,0.9481
1,4,0.023,0.0157,0.8918,0.9407
1,5,0.0135,0.0167,0.9192,0.9574
1,6,0.0108,0.0176,0.9015,0.9481
1,7,0.0084,0.014,0.9097,0.9537
1,8,0.0086,0.0208,0.9123,0.9537
1,9,0.0051,0.015,0.9352,0.9667
1,10,0.0042,0.0161,0.9324,0.9648
1,11,0.0034,0.0185,0.9291,0.963
1,12,0.0046,0.0145,0.9263,0.9611
1,13,0.0034,0.0158,0.9264,0.9611
1,14,0.0033,0.0149,0.9286,0.963
1,15,0.0035,0.0147,0.9324,0.963
1,16,0.0027,0.0166,0.9355,0.9667
1,17,0.0019,0.015,0.9325,0.9648
1,18,0.0029,0.0146,0.9324,0.9648
1,19,0.003,0.0163,0.9212,0.9574
1,20,0.0013,0.0164,0.934,0.9667
1,21,0.0021,0.015,0.9313,0.963
1,22,0.0032,0.0155,0.934,0.9667
1,23,0.0021,0.0147,0.9252,0.9611
1,24,0.0028,0.0143,0.9314,0.9648
1,25,0.0016,0.0148,0.9289,0.963
1,26,0.0018,0.0158,0.9349,0.9667
1,27,0.0014,0.0136,0.9244,0.9611
1,28,0.0025,0.0137,0.9278,0.963
1,29,0.003,0.0125,0.9264,0.9611
1,30,0.0078,0.0167,0.9396,0.9685
1,31,0.0028,0.0148,0.9272,0.9611
1,32,0.0039,0.0153,0.922,0.9593
1,33,0.003,0.0145,0.9314,0.9648
1,34,0.0011,0.0147,0.9289,0.963
1,35,0.0023,0.0145,0.928,0.963
1,36,0.0017,0.0157,0.9339,0.9667
1,37,0.0026,0.0141,0.9339,0.9667
1,38,0.0016,0.0145,0.9325,0.9648
1,39,0.0025,0.0145,0.9253,0.9611
1,40,0.0014,0.0153,0.9193,0.9574
2,1,0.1804,0.0418,0.8176,0.8907
2,2,0.0688,0.0161,0.8653,0.9278
2,3,0.0352,0.0168,0.882,0.937
2,4,0.0265,0.0128,0.8974,0.9463
2,5,0.0137,0.0203,0.9023,0.9481
2,6,0.0072,0.0104,0.9244,0.9611
2,7,0.0136,0.011,0.8999,0.95
2,8,0.0053,0.0089,0.9356,0.9667
2,9,0.0032,0.0154,0.8987,0.9463
2,10,0.0037,0.009,0.9219,0.9593
2,11,0.0045,0.0105,0.9354,0.9667
2,12,0.0069,0.0073,0.9274,0.963
2,13,0.0038,0.0097,0.921,0.9593
2,14,0.0047,0.0081,0.9401,0.9685
2,15,0.0037,0.0085,0.9293,0.963
2,16,0.0031,0.0089,0.9282,0.963
2,17,0.0037,0.0101,0.9277,0.963
2,18,0.002,0.0092,0.921,0.9593
2,19,0.0024,0.0111,0.9244,0.9611
2,20,0.0036,0.0106,0.9284,0.963
2,21,0.0024,0.011,0.9321,0.9648
2,22,0.0011,0.0099,0.9193,0.9593
2,23,0.0014,0.0101,0.9284,0.963
2,24,0.0015,0.0091,0.927,0.963
2,25,0.0021,0.0112,0.9239,0.9611
2,26,0.0015,0.0103,0.9259,0.9611
2,27,0.0017,0.0102,0.9292,0.963
2,28,0.0017,0.0104,0.9282,0.963
2,29,0.0023,0.0098,0.9284,0.963
2,30,0.003,0.0092,0.9348,0.9667
2,31,0.0016,0.0091,0.9303,0.963
2,32,0.0016,0.0108,0.9306,0.9648
2,33,0.0015,0.0093,0.936,0.9667
2,34,0.0015,0.012,0.9249,0.9611
2,35,0.0011,0.0096,0.9267,0.9611
2,36,0.0027,0.0103,0.9391,0.9685
2,37,0.002,0.0101,0.9364,0.9667
2,38,0.0029,0.0101,0.9174,0.9574
2,39,0.0021,0.0092,0.9361,0.9667
2,40,0.0016,0.0092,0.9372,0.9685
3,1,0.1556,0.0867,0.7883,0.8685
3,2,0.0751,0.0249,0.8622,0.9204
3,3,0.0346,0.0198,0.8967,0.9426
3,4,0.0182,0.0168,0.9144,0.95
3,5,0.0152,0.0134,0.8992,0.9463
3,6,0.0096,0.0114,0.919,0.9556
3,7,0.0071,0.0099,0.941,0.9685
3,8,0.0055,0.0132,0.939,0.9667
3,9,0.0056,0.0117,0.9129,0.9519
3,10,0.0041,0.0112,0.9177,0.9556
3,11,0.0062,0.0111,0.9301,0.9648
3,12,0.0035,0.0096,0.9455,0.9722
3,13,0.0049,0.0105,0.9268,0.963
3,14,0.0023,0.0127,0.9227,0.9611
3,15,0.0021,0.0099,0.9307,0.9648
3,16,0.0034,0.0108,0.9451,0.9722
3,17,0.0023,0.0108,0.9488,0.9741
3,18,0.0041,0.0109,0.9376,0.9685
3,19,0.0045,0.0108,0.9451,0.9722
3,20,0.0034,0.0106,0.9322,0.9648
3,21,0.0016,0.0101,0.9358,0.9667
