Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.1392,0.2046,0.4214,0.623
1,2,0.1282,0.2097,0.4096,0.623
1,3,0.1043,0.0285,0.9076,0.9672
1,4,0.0186,0.0105,0.8757,0.9454
1,5,0.0052,0.0089,0.9341,0.9727
1,6,0.0047,0.009,0.8901,0.9508
1,7,0.007,0.0094,0.9005,0.9563
1,8,0.0027,0.0099,0.8967,0.9563
1,9,0.0007,0.0119,0.9039,0.9617
1,10,0.001,0.0146,0.8877,0.9563
1,11,0.001,0.0128,0.9078,0.9617
1,12,0.0008,0.0128,0.9039,0.9617
1,13,0.0029,0.0129,0.886,0.9508
1,14,0.0021,0.0124,0.9039,0.9617
1,15,0.0046,0.0169,0.8764,0.9508
1,16,0.0022,0.0138,0.8924,0.9563
1,17,0.0006,0.014,0.9039,0.9617
1,18,0.0007,0.0194,0.9119,0.9672
1,19,0.0017,0.0112,0.9113,0.9617
1,20,0.001,0.0113,0.8606,0.9399
1,21,0.0009,0.0135,0.8967,0.9563
1,22,0.0006,0.0154,0.9039,0.9617
1,23,0.0181,0.0135,0.8655,0.9454
1,24,0.0006,0.0108,0.8814,0.9508
1,25,0.0009,0.0131,0.8708,0.9454
1,26,0.0006,0.0141,0.8877,0.9563
1,27,0.001,0.0146,0.8924,0.9563
1,28,0.0006,0.0125,0.8814,0.9508
1,29,0.0018,0.0157,0.8924,0.9563
1,30,0.0015,0.0127,0.8606,0.9399
1,31,0.0009,0.0126,0.8814,0.9508
1,32,0.0004,0.0125,0.8655,0.9454
1,33,0.0005,0.0133,0.8924,0.9563
1,34,0.0003,0.0169,0.9119,0.9672
1,35,0.0008,0.0193,0.9119,0.9672
1,36,0.0026,0.012,0.8814,0.9508
1,37,0.0017,0.0104,0.886,0.9508
1,38,0.0006,0.0112,0.8561,0.9344
1,39,0.0111,0.0094,0.8708,0.9454
1,40,0.0006,0.0084,0.8814,0.9508
2,1,0.4824,0.5062,0.2676,0.2732
2,2,0.4382,0.364,0.3318,0.3607
2,3,0.3648,0.0581,0.738,0.8743
2,4,0.0304,0.033,0.8524,0.9235
2,5,0.0059,0.026,0.9281,0.9672
2,6,0.0026,0.0237,0.9175,0.9617
2,7,0.0068,0.0211,0.8747,0.9399
2,8,0.0017,0.016,0.9254,0.9672
2,9,0.0065,0.0406,0.8787,0.9399
2,10,0.0015,0.0375,0.8975,0.9508
2,11,0.0014,0.0211,0.939,0.9727
2,12,0.0015,0.0198,0.9503,0.9781
2,13,0.0011,0.0234,0.9281,0.9672
2,14,0.0005,0.021,0.9503,0.9781
2,15,0.0013,0.0212,0.939,0.9727
2,16,0.0007,0.0233,0.9175,0.9617
2,17,0.0023,0.0198,0.9503,0.9781
2,18,0.0007,0.02,0.9503,0.9781
2,19,0.006,0.0333,0.8787,0.9399
2,20,0.0011,0.0149,0.9175,0.9617
2,21,0.0008,0.0118,0.9503,0.9781
2,22,0.0005,0.0151,0.939,0.9727
2,23,0.0007,0.0154,0.939,0.9727
2,24,0.0004,0.0121,0.9503,0.9781
2,25,0.0004,0.0156,0.939,0.9727
2,26,0.0006,0.0158,0.9281,0.9672
2,27,0.0005,0.0189,0.939,0.9727
2,28,0.0004,0.0169,0.939,0.9727
2,29,0.0026,0.0198,0.9281,0.9672
2,30,0.0018,0.0203,0.9281,0.9672
2,31,0.0003,0.0171,0.939,0.9727
2,32,0.0003,0.0224,0.8975,0.9508
2,33,0.0003,0.0182,0.9281,0.9672
2,34,0.0003,0.0149,0.939,0.9727
2,35,0.0003,0.0162,0.939,0.9727
2,36,0.0003,0.0143,0.939,0.9727
2,37,0.0003,0.0217,0.9281,0.9672
2,38,0.0006,0.0201,0.9281,0.9672
2,39,0.0002,0.0229,0.9281,0.9672
2,40,0.0002,0.0206,0.9175,0.9617
3,1,0.3691,0.3897,0.3337,0.3443
3,2,0.3388,0.3792,0.3337,0.3443
3,3,0.2597,0.1538,0.7821,0.9344
3,4,0.0334,0.0319,0.7983,0.9016
3,5,0.0071,0.0407,0.9039,0.9617
3,6,0.0146,0.0381,0.9039,0.9617
3,7,0.0038,0.0429,0.9039,0.9617
3,8,0.01,0.0352,0.8924,0.9563
3,9,0.0016,0.0407,0.9039,0.9617
3,10,0.004,0.0577,0.9039,0.9617
3,11,0.0014,0.0485,0.8924,0.9563
3,12,0.0012,0.0504,0.9039,0.9617
3,13,0.0019,0.0487,0.9039,0.9617
3,14,0.0011,0.0441,0.9039,0.9617
3,15,0.0033,0.0516,0.9039,0.9617
3,16,0.0013,0.047,0.9039,0.9617
3,17,0.0016,0.0442,0.9039,0.9617
3,18,0.0014,0.0484,0.8924,0.9563
3,19,0.0006,0.0483,0.9039,0.9617
3,20,0.0024,0.0484,0.8924,0.9563
3,21,0.0011,0.047,0.8924,0.9563
3,22,0.0008,0.0452,0.9039,0.9617
3,23,0.0006,0.045,0.9039,0.9617
3,24,0.0007,0.0525,0.9039,0.9617
3,25,0.0062,0.0584,0.9158,0.9672
3,26,0.0017,0.0572,0.9158,0.9672
3,27,0.0007,0.0455,0.9039,0.9617
3,28,0.0017,0.0579,0.9158,0.9672
3,29,0.0005,0.05,0.9158,0.9672
3,30,0.0118,0.0569,0.9158,0.9672
3,31,0.002,0.047,0.9039,0.9617
3,32,0.0006,0.0507,0.9158,0.9672
3,33,0.0011,0.058,0.9158,0.9672
3,34,0.0008,0.0536,0.9158,0.9672
3,35,0.0005,0.057,0.9158,0.9672
3,36,0.0003,0.0464,0.9158,0.9672
3,37,0.0003,0.0452,0.9039,0.9617
3,38,0.0136,0.0492,0.9158,0.9672
3,39,0.0014,0.0413,0.9039,0.9617
3,40,0.0024,0.0431,0.9158,0.9672
4,1,0.2192,0.2839,0.3597,0.3934
4,2,0.2085,0.216,0.4049,0.4754
4,3,0.1856,0.0878,0.9158,0.9672
4,4,0.028,0.0534,0.7337,0.8579
4,5,0.014,0.0733,0.8825,0.9563
4,6,0.0023,0.0808,0.8825,0.9563
4,7,0.0087,0.0419,0.9158,0.9672
4,8,0.0021,0.0368,0.9039,0.9617
4,9,0.0059,0.0444,0.8532,0.9454
4,10,0.0035,0.038,0.8996,0.9617
4,11,0.0017,0.0496,0.8825,0.9563
4,12,0.0012,0.0392,0.8877,0.9563
4,13,0.0027,0.0466,0.8825,0.9563
4,14,0.0028,0.0299,0.8877,0.9563
4,15,0.0012,0.0376,0.8996,0.9617
4,16,0.0031,0.0573,0.8647,0.9508
4,17,0.002,0.0354,0.8877,0.9563
4,18,0.0026,0.0298,0.8877,0.9563
4,19,0.0019,0.025,0.8877,0.9563
4,20,0.0008,0.0324,0.8825,0.9563
4,21,0.0005,0.028,0.8996,0.9617
4,22,0.0009,0.0361,0.8996,0.9617
4,23,0.0004,0.0351,0.8996,0.9617
4,24,0.0003,0.0298,0.8996,0.9617
4,25,0.0007,0.0411,0.8996,0.9617
4,26,0.0006,0.025,0.8996,0.9617
4,27,0.0034,0.0286,0.8996,0.9617
4,28,0.011,0.0242,0.8996,0.9617
4,29,0.0005,0.0341,0.8996,0.9617
4,30,0.001,0.0329,0.8996,0.9617
4,31,0.001,0.0358,0.8996,0.9617
4,32,0.0005,0.0293,0.8996,0.9617
4,33,0.0004,0.0353,0.8996,0.9617
4,34,0.0008,0.0261,0.8877,0.9563
4,35,0.0003,0.0328,0.8996,0.9617
4,36,0.0004,0.0319,0.8996,0.9617
4,37,0.0006,0.048,0.8996,0.9617
4,38,0.0009,0.0334,0.8996,0.9617
4,39,0.0003,0.0432,0.8996,0.9617
4,40,0.0004,0.0392,0.9119,0.9672
5,1,0.2052,0.1936,0.5118,0.5792
5,2,0.1949,0.1676,0.5362,0.612
5,3,0.2044,0.4007,0.4665,0.8743
5,4,0.0331,0.0259,0.8924,0.9563
5,5,0.0142,0.0168,0.8924,0.9563
5,6,0.0071,0.0135,0.9039,0.9617
5,7,0.0032,0.0177,0.9039,0.9617
5,8,0.0128,0.0208,0.8924,0.9563
5,9,0.0044,0.018,0.9158,0.9672
