Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.2224,0.1031,0.6652,0.8579
1,2,0.103,0.0862,0.6901,0.8415
1,3,0.0421,0.1456,0.7153,0.8197
1,4,0.0354,0.071,0.7462,0.8525
1,5,0.0103,0.1404,0.7093,0.8087
1,6,0.0037,0.104,0.7434,0.8579
1,7,0.0021,0.1114,0.6757,0.8197
1,8,0.0027,0.1454,0.6852,0.7978
1,9,0.0014,0.1083,0.7329,0.847
1,10,0.0007,0.1121,0.7233,0.8525
1,11,0.0004,0.124,0.6876,0.8415
1,12,0.0011,0.1206,0.7421,0.8525
1,13,0.0008,0.1349,0.6958,0.8415
1,14,0.0004,0.1244,0.7434,0.8579
1,15,0.0006,0.1277,0.6855,0.8306
1,16,0.0012,0.1218,0.7571,0.8579
1,17,0.0006,0.1274,0.7264,0.8361
1,18,0.0004,0.1218,0.6805,0.8251
1,19,0.0006,0.1256,0.7323,0.847
1,20,0.0003,0.1299,0.7322,0.8415
2,1,0.2212,0.1571,0.7027,0.7869
2,2,0.0896,0.0843,0.7561,0.8852
2,3,0.0674,0.1884,0.674,0.765
2,4,0.0247,0.1742,0.6603,0.8251
2,5,0.0248,0.1494,0.7221,0.8306
2,6,0.0068,0.098,0.7572,0.8689
2,7,0.0036,0.108,0.767,0.8743
2,8,0.0035,0.1193,0.7663,0.8798
2,9,0.0037,0.1116,0.7895,0.8907
2,10,0.0012,0.1214,0.7624,0.8689
2,11,0.0023,0.1345,0.767,0.8743
2,12,0.0008,0.122,0.767,0.8743
2,13,0.001,0.1529,0.7744,0.8852
2,14,0.0007,0.137,0.7822,0.8852
2,15,0.0008,0.1315,0.7648,0.8743
2,16,0.0012,0.1188,0.7748,0.8798
2,17,0.0009,0.1432,0.7597,0.8689
2,18,0.0007,0.1275,0.7602,0.8743
2,19,0.0007,0.1164,0.789,0.8907
2,20,0.001,0.13,0.7817,0.8798
3,1,0.2125,0.1099,0.5822,0.8579
3,2,0.0687,0.0891,0.6645,0.847
3,3,0.0569,0.2036,0.633,0.8142
3,4,0.0533,0.1205,0.6342,0.8415
3,5,0.0122,0.1138,0.6701,0.8361
3,6,0.0059,0.1315,0.6567,0.8415
3,7,0.0019,0.1477,0.6681,0.8361
3,8,0.0022,0.1468,0.6327,0.8197
3,9,0.0009,0.1585,0.6681,0.8361
3,10,0.0017,0.1639,0.6814,0.847
3,11,0.0016,0.1519,0.6468,0.8251
3,12,0.0006,0.1623,0.6717,0.8415
3,13,0.0005,0.1538,0.6493,0.8306
3,14,0.0007,0.1615,0.6684,0.847
3,15,0.0006,0.142,0.678,0.8415
3,16,0.0007,0.1481,0.6833,0.847
3,17,0.0009,0.1471,0.6684,0.847
3,18,0.0005,0.1436,0.6541,0.8361
3,19,0.0002,0.1414,0.6698,0.847
3,20,0.0003,0.1549,0.6557,0.8306
4,1,0.2265,0.1209,0.5576,0.8361
4,2,0.0855,0.0912,0.6251,0.8415
4,3,0.0469,0.1492,0.5877,0.8251
4,4,0.039,0.0945,0.6749,0.8634
4,5,0.0226,0.1636,0.7648,0.8852
4,6,0.0054,0.1611,0.7509,0.8852
4,7,0.0017,0.1494,0.7432,0.8798
4,8,0.0015,0.1673,0.7758,0.8852
4,9,0.0008,0.1623,0.7679,0.8907
4,10,0.0007,0.163,0.7626,0.8798
4,11,0.001,0.1608,0.7431,0.8743
4,12,0.0007,0.1751,0.7398,0.8743
4,13,0.0003,0.1839,0.7585,0.8852
4,14,0.0007,0.1817,0.773,0.8852
4,15,0.0003,0.1872,0.7558,0.8798
4,16,0.0003,0.2054,0.7523,0.8798
4,17,0.0009,0.1915,0.7472,0.8798
4,18,0.0005,0.1701,0.773,0.8852
4,19,0.0004,0.1834,0.7699,0.8852
4,20,0.0002,0.1679,0.7625,0.8798
