Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.2918,0.1624,0.391,0.776
1,2,0.1324,0.0986,0.5956,0.8197
1,3,0.064,0.0933,0.6481,0.8142
1,4,0.0515,0.0991,0.6663,0.8197
1,5,0.0325,0.0973,0.6733,0.8251
1,6,0.0201,0.1003,0.6989,0.8415
1,7,0.0165,0.0969,0.7039,0.847
1,8,0.0197,0.1112,0.6832,0.8251
1,9,0.0192,0.1376,0.6907,0.8033
1,10,0.0079,0.0962,0.6982,0.847
1,11,0.0068,0.1026,0.722,0.8361
1,12,0.02,0.101,0.7385,0.8415
1,13,0.0113,0.104,0.7502,0.8415
1,14,0.0098,0.1074,0.7174,0.8579
1,15,0.0113,0.1,0.7142,0.8579
1,16,0.0097,0.0955,0.7339,0.8415
1,17,0.0064,0.1038,0.7248,0.847
1,18,0.0075,0.104,0.7719,0.8579
1,19,0.0074,0.0983,0.7264,0.8306
1,20,0.0215,0.1051,0.7453,0.8634
1,21,0.0056,0.0943,0.761,0.8634
1,22,0.0063,0.0978,0.7108,0.8415
1,23,0.0109,0.0934,0.7409,0.8415
1,24,0.004,0.1067,0.7252,0.8197
1,25,0.0097,0.1,0.7565,0.8634
1,26,0.0056,0.0942,0.7257,0.847
1,27,0.005,0.1008,0.7361,0.847
1,28,0.011,0.0896,0.7183,0.8415
1,29,0.0095,0.1001,0.7343,0.847
1,30,0.0066,0.099,0.7457,0.847
1,31,0.0065,0.0972,0.73,0.8525
1,32,0.0048,0.1149,0.7383,0.8361
1,33,0.0113,0.0921,0.7316,0.847
1,34,0.0115,0.1095,0.7306,0.8634
1,35,0.0053,0.0972,0.73,0.8525
1,36,0.0064,0.1126,0.711,0.8197
1,37,0.007,0.1014,0.7362,0.847
1,38,0.0174,0.0958,0.7457,0.847
1,39,0.0081,0.1191,0.7102,0.8197
1,40,0.0062,0.096,0.7293,0.8415
2,1,0.3275,0.1694,0.4075,0.7923
2,2,0.1583,0.1103,0.6573,0.8306
2,3,0.0835,0.0745,0.7122,0.8743
2,4,0.0518,0.1018,0.7197,0.847
2,5,0.0336,0.0832,0.757,0.8634
2,6,0.0268,0.0738,0.7743,0.8743
2,7,0.03,0.0747,0.7228,0.8634
2,8,0.018,0.0966,0.751,0.8634
