,abundance_crust,abundance_sea,atomic_number,atomic_radius,atomic_radius_rahm,atomic_volume,atomic_weight,block,c6,c6_gb,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,density,dipole_polarizability,dipole_polarizability_unc,electron_affinity,en_allen,en_ghosh,en_pauling,glawe_number,group_id,heat_of_formation,is_radioactive,lattice_structure,mendeleev_number,molar_heat_capacity,period,pettifor_number,series_id,specific_heat_capacity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_uff
0,1400.0,108000.0,1,25.0,154.0,14.1,1.008,s,6.499026705,6.51,31.0,32.0,,,8.2e-05,4.50711,3e-05,0.754195,13.61,0.2638,2.2,103.0,1.0,217.998,False,HEX,105,28.836,1,103.0,1,14.304,110.00000000000001,120.0,,120.0,319.5,162.0,288.6
1,0.008,7.000000000000001e-06,2,120.0,134.0,31.8,4.002602,s,1.42,1.47,28.000000000000004,46.0,,,0.000164,1.38375,2e-05,-19.7,24.59,0.442712,,1.0,18.0,,False,HEX,112,20.786,1,1.0,2,5.193,140.0,143.0,,140.0,,153.0,236.20000000000002
2,20.0,0.18,3,145.0,220.00000000000003,13.1,6.94,s,1392.0,1410.0,128.0,133.0,124.0,,0.534,164.1125,0.0005,0.618049,5.392,0.105093,0.98,12.0,1.0,159.3,False,BCC,1,24.86,2,12.0,3,3.582,182.0,212.0,220.00000000000003,181.0,,254.99999999999997,245.1
3,2.8,5.6e-06,4,105.0,219.0,5.0,9.0121831,s,227.0,214.0,96.0,102.0,90.0,85.0,1.85,37.74,0.03,-2.4,9.323,0.144986,1.57,77.0,2.0,324.0,False,HEX,75,16.443,2,77.0,4,1.825,153.0,198.0,190.0,,,223.0,274.5
4,10.0,4.44,5,85.0,204.99999999999997,4.6,10.81,p,99.5,99.2,84.0,85.0,78.0,73.0,2.34,20.5,0.1,0.279723,12.13,0.184886,2.04,86.0,13.0,565.0,False,TET,81,11.087,2,86.0,5,1.026,192.0,191.0,180.0,,401.99999999999994,215.0,408.3
5,200.0,28.0,6,70.0,190.0,5.3,12.011,p,46.6,47.9,73.0,75.0,67.0,60.0,2.2,11.3,0.2,1.262119,15.05,0.22477600000000003,2.55,87.0,14.0,716.87,False,DIA,87,8.517,2,95.0,1,0.709,170.0,177.0,170.0,170.0,389.83,204.0,385.1
6,19.0,0.5,7,65.0,179.0,17.3,14.007,p,24.2,25.7,71.0,71.0,60.0,54.0,0.001145,7.4,0.2,-1.4,18.13,0.26493,3.04,88.0,15.0,472.44,False,HEX,93,29.124,2,100.0,1,1.04,155.0,166.0,160.0,155.0,366.21000000000004,193.0,366.0
7,461000.0,857000.0,8,60.0,171.0,14.0,15.999,p,15.6,16.7,66.0,63.0,57.0,53.0,0.0013080000000000001,5.3,0.2,1.4611135,21.36,0.304575,3.44,97.0,16.0,249.229,False,CUB,99,29.378,2,101.0,1,0.918,152.0,150.0,155.0,152.0,340.46,182.0,350.0
8,585.0,1.3,9,50.0,163.0,17.1,18.998403163,p,9.52,10.2,56.99999999999999,64.0,59.0,53.0,0.001553,3.74,0.08,3.4011897000000006,24.8,0.344443,3.98,102.0,17.0,79.335,False,MCL,106,31.304,2,102.0,6,0.824,147.0,146.0,150.0,147.0,347.2,171.0,336.4
9,0.005,0.00011999999999999999,10,160.0,156.0,16.8,20.1797,p,6.2,6.91,57.99999999999999,67.0,96.0,,0.000825,2.6611,3e-05,,28.31,0.38439,,2.0,18.0,,False,FCC,113,20.786,2,2.0,2,1.03,154.0,158.0,,154.0,,160.0,324.3
10,23600.0,10800.0,11,180.0,225.0,23.7,22.98976928,s,1518.0,1570.0,166.0,155.0,160.0,,0.97,162.7,0.5,0.547926,5.14,0.093214,0.93,11.0,1.0,107.5,False,BCC,2,28.23,3,11.0,3,1.228,227.0,250.0,240.0,227.0,,270.0,298.3
11,23300.0,1290.0,12,150.0,240.0,14.0,24.305,s,626.0,629.0,141.0,139.0,132.0,127.0,1.74,71.2,0.4,,7.646,0.121644,1.31,73.0,2.0,147.1,False,HEX,76,24.869,3,73.0,4,1.023,173.0,251.0,220.00000000000003,173.0,,243.00000000000003,302.1
12,82300.0,0.002,13,125.0,239.0,10.0,26.9815385,p,528.0,520.0,121.0,126.0,113.0,111.0,2.7,57.8,1.0,0.43283,9.539,0.150078,1.61,78.0,13.0,330.9,False,FCC,82,24.2,3,80.0,7,0.897,184.0,225.0,210.0,,438.99999999999994,236.0,449.9
13,282000.0,2.2,14,110.0,231.99999999999997,12.1,28.085,p,305.0,308.0,111.00000000000001,115.99999999999999,107.0,102.0,2.3296,37.3,0.7,1.3895211,11.33,0.178503,1.9,85.0,14.0,450.0,False,DIA,88,19.99,3,85.0,5,0.712,210.0,219.0,210.0,210.0,426.99999999999994,229.0,429.5
14,1050.0,0.06,15,100.0,223.0,17.0,30.973761998,p,185.0,187.0,107.0,111.00000000000001,102.0,94.0,1.823,25.0,1.0,0.746607,13.33,0.206931,2.19,89.0,15.0,316.5,False,CUB,94,23.824,3,90.0,1,0.769,180.0,190.0,195.0,180.0,415.00000000000006,222.00000000000003,414.70000000000005
15,350.0,905.0,16,100.0,214.0,15.5,32.06,p,134.0,140.0,105.0,103.0,94.0,95.0,2.07,19.4,0.1,2.07710403,15.31,0.23596,2.58,96.0,16.0,277.17,False,ORC,100,22.7,3,94.0,1,0.708,180.0,189.0,180.0,180.0,403.0,215.0,403.5
16,145.0,19400.0,17,100.0,206.0,18.7,35.45,p,94.6,97.1,102.0,99.0,95.0,93.0,0.002898,14.6,0.1,3.612725,16.97,0.263803,3.16,101.0,17.0,121.302,False,ORC,107,33.949,3,99.0,6,0.479,175.0,182.0,180.0,175.0,395.03,206.99999999999997,394.7
17,3.5,0.45,18,71.0,197.0,24.2,39.948,p,64.2,67.4,106.0,96.0,107.0,96.0,0.001633,11.083,0.007,-11.5,19.17,0.2922,,3.0,18.0,,False,FCC,114,20.786,3,3.0,2,0.52,188.0,194.0,,188.0,,199.0,386.8
18,20900.0,399.0,19,220.0,234.0,45.3,39.0983,s,3923.0,3910.0,202.99999999999997,196.0,193.0,,0.89,289.7,0.3,0.50147,4.34,0.0981896,0.82,10.0,1.0,89.0,False,BCC,3,29.6,4,10.0,3,0.757,275.0,273.0,280.0,275.0,,309.0,381.2
19,41500.0,412.0,20,180.0,270.0,29.9,40.078,s,2163.0,2230.0,176.0,171.0,147.0,133.0,1.54,160.8,4.0,0.02455,6.1129999999999995,0.1154119,1.0,16.0,2.0,177.8,False,FCC,7,25.929,4,16.0,4,0.647,231.0,262.0,240.0,,,281.0,339.9
20,22.0,6e-07,21,160.0,263.0,15.0,44.955908,d,1383.0,1570.0,170.0,148.0,116.0,114.0,2.99,97.0,10.0,0.188,7.042000000000001,0.11938330000000001,1.36,48.0,3.0,377.8,False,HEX,11,25.52,4,20.0,8,0.568,215.0,258.0,229.99999999999997,,,261.0,329.5
21,5650.0,0.001,22,140.0,257.0,10.6,47.867,d,1044.0,1200.0,160.0,136.0,117.0,108.0,4.506,100.0,10.0,0.079,8.17,0.12336369999999999,1.54,51.0,4.0,473.0,False,HEX,43,25.06,4,51.0,8,0.523,211.0,246.0,215.0,,,239.0,317.5
22,120.0,0.0025,23,135.0,252.0,8.35,50.9415,d,832.0,955.0,153.0,134.0,112.0,106.0,6.0,87.0,10.0,0.525,9.062999999999999,0.12733440000000001,1.63,54.0,5.0,515.5,False,BCC,47,24.89,4,54.0,8,0.489,206.99999999999997,242.0,204.99999999999997,,,229.0,314.4
23,102.0,0.0003,24,140.0,233.0,7.23,51.9961,d,602.0,709.0,139.0,122.0,111.0,103.0,7.15,83.0,12.0,0.6659999999999999,9.77,0.13130529999999999,1.66,55.0,6.0,397.48,False,BCC,51,23.35,4,57.0,8,0.449,206.0,245.0,204.99999999999997,,,225.0,302.3
24,950.0,0.0002,25,140.0,242.0,7.39,54.938044,d,552.0,635.0,150.0,119.0,105.0,103.0,7.3,68.0,9.0,,10.34,0.1352844,1.55,72.0,7.0,283.3,False,CUB,55,26.32,4,60.0,8,0.479,204.99999999999997,245.0,204.99999999999997,,,224.00000000000003,296.1
25,56300.0,0.002,26,140.0,237.0,7.1,55.845,d,482.0,548.0,142.0,115.99999999999999,109.0,102.0,7.87,62.0,4.0,0.151,10.64,0.13925320000000002,1.83,71.0,8.0,415.5,False,BCC,59,25.1,4,61.0,8,0.449,204.0,244.0,204.99999999999997,,,223.0,291.2
26,25.0,2e-05,27,135.0,233.0,6.7,58.933194,d,408.0,461.0,138.0,111.00000000000001,103.0,96.0,8.86,55.0,4.0,0.66225646,10.86,0.14323629999999998,1.88,70.0,9.0,426.7,False,HEX,63,24.81,4,64.0,8,0.421,200.0,240.0,200.0,,,223.0,287.2
27,84.0,0.00056,28,135.0,229.0,6.6,58.6934,d,373.0,393.0,124.0,110.00000000000001,101.0,101.0,8.9,49.0,3.0,1.156,11.13,0.1472068,1.91,69.0,10.0,430.1,False,FCC,67,26.07,4,67.0,8,0.444,197.0,240.0,200.0,,,222.00000000000003,283.4
28,60.0,0.00025,29,135.0,217.0,7.1,63.546,d,253.0,264.0,132.0,112.00000000000001,115.0,120.0,8.96,46.5,0.5,1.235,10.96,0.15117160000000002,1.9,68.0,11.0,337.4,False,FCC,71,24.44,4,72.0,8,0.385,196.0,238.0,200.0,,,225.99999999999997,349.5
29,70.0,0.0049,30,135.0,222.00000000000003,9.2,65.38,d,284.0,276.0,122.0,118.0,120.0,,7.134,38.67,0.3,,9.395,0.15515179999999998,1.65,74.0,12.0,130.4,False,HEX,77,25.39,4,76.0,8,0.388,200.99999999999997,239.0,210.0,,,229.0,276.3
30,19.0,2.9999999999999997e-05,31,130.0,233.0,11.8,69.723,p,498.0,456.0,122.0,124.0,117.0,121.0,5.91,50.0,3.0,0.43,10.39,0.17237729999999998,1.81,79.0,13.0,271.96,False,ORC,83,26.03,4,81.0,7,0.373,187.0,232.0,210.0,187.0,438.99999999999994,246.0,438.3
31,1.5,5e-05,32,125.0,234.0,13.6,72.63,p,354.0,365.0,120.0,121.0,111.0,114.0,5.3234,40.0,1.0,1.232712,11.8,0.1895892,2.01,84.0,14.0,372.0,False,DIA,89,23.222,4,84.0,5,0.32,211.0,229.0,210.0,,426.99999999999994,244.0,428.0
32,1.8,0.0037,33,115.0,231.0,13.1,74.921595,p,246.0,260.0,119.0,121.0,114.0,106.0,5.75,30.0,1.0,0.804,13.08,0.2068208,2.18,90.0,15.0,302.5,False,RHL,95,24.64,4,89.0,5,0.329,185.0,188.0,204.99999999999997,185.0,415.00000000000006,236.0,423.00000000000006
33,0.05,0.0002,34,115.0,224.00000000000003,16.5,78.971,p,210.0,233.0,120.0,115.99999999999999,107.0,107.0,4.809,28.9,1.0,2.02067,14.34,0.2240328,2.55,95.0,16.0,227.2,False,HEX,101,25.363,4,93.0,1,0.321,190.0,182.0,190.0,190.0,403.0,229.0,420.5
34,2.4,67.3,35,115.0,219.0,23.5,79.904,p,162.0,187.0,120.0,113.99999999999999,109.0,110.0,3.1028,21.0,1.0,3.3635882000000006,15.88,0.2412578,2.96,100.0,17.0,111.85,False,ORC,108,75.69,4,98.0,6,0.474,185.0,186.0,190.0,183.0,395.0,222.00000000000003,418.9
35,0.0001,0.00021,36,,212.0,32.2,83.798,p,130.0,136.0,115.99999999999999,117.0,121.0,108.0,0.0034249999999999997,16.78,0.02,,17.54,0.2584813,,4.0,18.0,,False,FCC,115,20.786,4,4.0,2,0.248,202.0,207.0,,202.0,,215.0,414.1
36,90.0,0.12,37,235.0,240.0,55.9,85.4678,s,4769.0,4660.0,220.00000000000003,210.0,202.0,,1.53,319.8,0.3,0.48591999999999996,4.177,0.10468599999999999,0.82,9.0,1.0,80.9,False,BCC,4,31.06,5,9.0,3,0.363,303.0,321.0,290.0,,,325.0,411.4
37,370.0,7.9,38,200.0,279.0,33.7,87.62,s,3175.0,3230.0,195.0,185.0,157.0,139.0,2.64,197.2,0.2,0.048,5.695,0.1185082,0.95,15.0,2.0,164.0,False,FCC,8,26.79,5,15.0,4,0.306,249.00000000000003,284.0,254.99999999999997,,,300.0,364.1
38,33.0,1.3000000000000001e-05,39,180.0,274.0,19.8,88.90584,d,,2600.0,190.0,163.0,130.0,124.0,4.47,162.0,12.0,0.307,6.631,0.1216986,1.22,21.0,3.0,424.7,False,HEX,12,26.53,5,19.0,8,0.298,231.99999999999997,275.0,240.0,,,271.0,334.5
39,165.0,2.9999999999999997e-05,40,155.0,269.0,14.1,91.224,d,,1360.0,175.0,154.0,127.0,121.0,6.52,112.0,13.0,0.426,7.808,0.12488869999999999,1.33,49.0,4.0,610.0,False,HEX,44,25.36,5,49.0,8,0.278,223.0,252.0,229.99999999999997,,,254.0,312.4
40,20.0,1e-05,41,145.0,250.99999999999997,10.8,92.90637,d,,1140.0,164.0,147.0,125.0,116.0,8.57,98.0,8.0,0.917406,8.34,0.1280782,1.6,53.0,5.0,733.0,False,BCC,48,24.6,5,52.0,8,0.265,218.00000000000003,256.0,215.0,,,243.00000000000003,316.5
41,1.2,0.01,42,145.0,244.0,9.4,95.95,d,,1030.0,154.0,138.0,121.0,113.0,10.2,87.0,6.0,0.748,8.71,0.1312672,2.16,56.0,6.0,658.98,False,BCC,52,24.06,5,55.0,8,0.251,217.0,245.0,210.0,,,239.0,305.2
42,,,43,135.0,252.0,8.5,97.90721,d,,939.0,147.0,128.0,120.0,110.0,11.0,79.0,10.0,0.55,8.94,0.1344592,2.1,59.0,7.0,678.0,True,HEX,56,,5,58.0,8,,216.0,244.0,204.99999999999997,,,236.0,299.8
43,0.001,7e-07,44,130.0,237.0,8.3,101.07,d,,809.0,146.0,125.0,114.0,103.0,12.1,72.0,10.0,1.05,9.1,0.1376494,2.2,61.0,8.0,650.6,False,HEX,60,24.06,5,63.0,8,0.238,213.0,246.0,204.99999999999997,,,234.0,296.3
44,0.001,,45,135.0,233.0,8.3,102.9055,d,,708.0,142.0,125.0,110.0,106.0,12.4,66.0,10.0,1.137,9.259,0.1408379,2.28,63.0,9.0,556.0,False,FCC,64,24.98,5,66.0,8,0.243,210.0,244.0,200.0,,,234.0,292.9
