id,MLM,HLM
TEST_000,9.43,28.46
TEST_001,66.39,85.69
TEST_002,37.95,62.59
TEST_003,26.74,61.79
TEST_004,56.4,81.94
TEST_005,61.9,93.74
TEST_006,15.13,41.7
TEST_007,39.28,61.05
TEST_008,9.49,26.96
TEST_009,15.75,49.5
TEST_010,20.3,37.09
TEST_011,66.9,80.67
TEST_012,75.4,94.28
TEST_013,29.02,55.78
TEST_014,6.11,23.01
TEST_015,63.18,84.1
TEST_016,53.66,59.4
TEST_017,34.2,66.45
TEST_018,62.15,74.38
TEST_019,42.99,70.27
TEST_020,8.78,25.86
TEST_021,8.0,15.33
TEST_022,8.19,20.05
TEST_023,18.81,40.03
TEST_024,8.61,19.09
TEST_025,25.68,52.55
TEST_026,18.0,54.67
TEST_027,66.45,92.89
TEST_028,24.64,63.73
TEST_029,34.11,67.65
TEST_030,48.72,69.08
TEST_031,13.23,25.63
TEST_032,5.37,23.69
TEST_033,33.46,65.61
TEST_034,26.95,73.09
TEST_035,15.11,18.15
TEST_036,29.99,54.44
TEST_037,45.25,75.47
TEST_038,22.41,61.49
TEST_039,16.7,32.15
TEST_040,45.89,53.15
TEST_041,73.84,98.96
TEST_042,10.14,5.47
TEST_043,8.97,34.0
TEST_044,5.36,26.57
TEST_045,64.0,81.61
TEST_046,14.04,38.36
TEST_047,2.7,14.75
TEST_048,57.58,73.33
TEST_049,44.01,69.11
TEST_050,76.7,82.48
TEST_051,26.0,37.89
TEST_052,17.01,29.33
TEST_053,33.6,52.98
TEST_054,8.58,34.54
TEST_055,12.57,45.35
TEST_056,53.22,71.97
TEST_057,45.45,75.08
TEST_058,7.23,16.98
TEST_059,27.75,38.31
TEST_060,9.69,27.12
TEST_061,39.97,72.41
TEST_062,52.17,72.43
TEST_063,69.76,89.39
TEST_064,51.56,85.43
TEST_065,39.75,74.23
TEST_066,39.86,74.91
TEST_067,74.31,85.24
TEST_068,20.78,56.4
TEST_069,25.47,57.23
TEST_070,28.18,63.63
TEST_071,11.13,40.31
TEST_072,38.39,62.97
TEST_073,50.52,79.61
TEST_074,14.9,28.79
TEST_075,53.7,74.49
TEST_076,65.51,88.89
TEST_077,32.86,44.45
TEST_078,43.6,63.98
TEST_079,19.16,21.98
TEST_080,74.56,88.65
TEST_081,61.88,83.47
TEST_082,25.51,49.26
TEST_083,10.55,20.95
TEST_084,24.92,45.5
TEST_085,79.29,84.57
