id,MLM,HLM
TEST_000,6.37,24.53
TEST_001,63.84,84.34
TEST_002,48.06,69.84
TEST_003,23.78,62.17
TEST_004,56.74,87.14
TEST_005,64.05,88.66
TEST_006,10.98,42.99
TEST_007,24.7,61.67
TEST_008,4.02,22.15
TEST_009,14.5,51.77
TEST_010,19.7,39.81
TEST_011,68.02,86.36
TEST_012,73.23,90.76
TEST_013,27.42,63.64
TEST_014,4.14,21.59
TEST_015,66.87,82.65
TEST_016,47.28,56.61
TEST_017,29.18,66.48
TEST_018,77.82,89.8
TEST_019,35.89,72.27
TEST_020,2.89,18.8
TEST_021,5.64,21.37
TEST_022,7.0,22.7
TEST_023,12.11,36.8
TEST_024,6.76,18.77
TEST_025,20.42,50.94
TEST_026,24.83,63.74
TEST_027,65.93,89.31
TEST_028,21.73,65.15
TEST_029,28.69,65.19
TEST_030,57.11,72.94
TEST_031,5.5,23.42
TEST_032,2.88,26.57
TEST_033,21.45,52.23
TEST_034,25.02,64.83
TEST_035,6.24,14.57
TEST_036,38.21,68.6
TEST_037,60.56,83.06
TEST_038,17.05,54.1
TEST_039,5.98,24.99
TEST_040,42.94,59.88
TEST_041,70.8,89.87
TEST_042,8.92,13.9
TEST_043,4.14,24.17
TEST_044,1.32,27.2
TEST_045,79.93,89.0
TEST_046,15.63,48.58
TEST_047,1.82,13.84
TEST_048,68.2,83.12
TEST_049,40.71,73.08
TEST_050,72.26,76.79
TEST_051,13.13,34.35
TEST_052,14.88,33.87
TEST_053,14.29,41.15
TEST_054,2.62,27.89
TEST_055,11.19,36.0
TEST_056,52.1,76.88
TEST_057,48.05,78.78
TEST_058,4.79,15.25
TEST_059,36.14,54.08
TEST_060,3.27,19.94
TEST_061,33.95,67.72
TEST_062,50.77,74.76
TEST_063,72.78,85.13
TEST_064,54.4,79.78
TEST_065,49.5,75.94
TEST_066,21.84,63.64
TEST_067,75.23,84.35
TEST_068,18.28,61.37
TEST_069,19.16,61.33
TEST_070,32.8,65.22
TEST_071,11.41,43.88
TEST_072,27.41,58.41
TEST_073,52.68,84.49
