id,MLM,HLM
TEST_000,9.03,32.13
TEST_001,60.21,83.11
TEST_002,39.51,67.81
TEST_003,31.08,64.01
TEST_004,59.25,88.84
TEST_005,58.59,87.45
TEST_006,8.3,37.5
TEST_007,19.08,60.27
TEST_008,5.28,21.22
TEST_009,21.21,57.29
TEST_010,16.13,43.11
TEST_011,65.33,87.13
TEST_012,68.37,87.78
TEST_013,30.81,67.28
TEST_014,5.45,19.83
TEST_015,59.57,83.41
TEST_016,45.66,57.25
TEST_017,26.31,64.1
TEST_018,73.08,88.47
TEST_019,27.72,67.16
TEST_020,3.59,22.89
TEST_021,5.36,27.24
TEST_022,6.6,21.0
TEST_023,9.9,32.57
TEST_024,6.54,21.25
TEST_025,10.57,40.79
TEST_026,28.6,67.5
TEST_027,64.02,90.01
TEST_028,20.94,66.22
TEST_029,54.73,78.47
TEST_030,51.92,70.37
TEST_031,6.06,18.75
TEST_032,3.86,25.42
TEST_033,27.54,53.23
TEST_034,14.52,53.68
TEST_035,6.98,17.41
TEST_036,33.56,67.58
TEST_037,63.12,83.79
TEST_038,15.53,51.33
TEST_039,5.04,19.63
TEST_040,42.95,58.21
TEST_041,69.89,91.97
TEST_042,5.47,10.87
TEST_043,7.52,28.54
TEST_044,5.47,31.0
TEST_045,79.95,92.16
TEST_046,18.64,49.85
TEST_047,4.02,19.34
TEST_048,63.97,81.84
TEST_049,31.24,66.19
TEST_050,76.71,83.04
TEST_051,15.47,40.89
TEST_052,14.88,33.11
TEST_053,22.59,50.09
TEST_054,5.67,24.75
TEST_055,9.61,39.57
TEST_056,43.12,72.89
TEST_057,35.98,69.16
TEST_058,5.12,13.75
TEST_059,31.68,49.5
TEST_060,4.43,25.01
TEST_061,34.96,73.19
TEST_062,53.87,81.11
TEST_063,71.41,88.24
TEST_064,54.01,80.06
TEST_065,49.03,78.09
TEST_066,24.71,66.82
TEST_067,62.17,75.31
TEST_068,23.67,59.12
TEST_069,12.68,42.64
TEST_070,26.27,62.29
TEST_071,11.62,41.4
TEST_072,26.16,58.97
TEST_073,45.3,84.47
TEST_074,10.55,27.27
TEST_075,65.83,85.34
TEST_076,61.42,85.63
TEST_077,33.96,48.97
TEST_078,57.16,78.59
