id,MLM,HLM
TEST_000,37.58,64.27
TEST_001,38.53,58.73
TEST_002,32.54,47.69
TEST_003,46.99,75.41
TEST_004,34.0,53.21
TEST_005,49.11,72.15
TEST_006,33.2,59.41
TEST_007,32.15,57.26
TEST_008,32.75,55.25
TEST_009,33.62,49.76
TEST_010,31.87,51.37
TEST_011,46.11,63.05
TEST_012,51.16,71.15
TEST_013,62.01,91.91
TEST_014,21.97,31.78
TEST_015,47.67,60.84
TEST_016,11.32,8.88
TEST_017,27.9,51.89
TEST_018,47.64,69.04
TEST_019,54.66,79.69
TEST_020,13.77,20.99
TEST_021,7.93,18.6
TEST_022,23.1,30.01
TEST_023,4.74,20.2
TEST_024,22.73,34.44
TEST_025,29.02,54.18
TEST_026,14.98,29.26
TEST_027,31.84,52.1
TEST_028,33.75,61.84
TEST_029,17.99,35.87
TEST_030,43.99,68.12
TEST_031,13.87,33.21
TEST_032,10.48,33.8
TEST_033,58.42,93.58
TEST_034,36.32,59.29
TEST_035,11.85,23.16
TEST_036,19.28,32.88
TEST_037,44.26,75.2
TEST_038,29.79,44.25
TEST_039,19.87,65.55
TEST_040,7.24,9.6
TEST_041,45.15,60.0
TEST_042,7.71,11.76
TEST_043,16.69,29.32
TEST_044,28.44,59.13
TEST_045,38.79,59.8
TEST_046,9.65,16.32
TEST_047,12.95,21.97
TEST_048,55.2,68.89
TEST_049,23.17,52.36
TEST_050,42.99,55.06
TEST_051,10.42,24.28
TEST_052,32.44,46.26
TEST_053,30.08,36.43
TEST_054,22.97,63.96
TEST_055,53.86,101.22
TEST_056,46.54,66.53
TEST_057,35.5,66.89
TEST_058,17.38,37.94
TEST_059,35.99,59.52
TEST_060,33.22,78.26
TEST_061,43.6,65.08
TEST_062,38.17,60.45
TEST_063,45.77,66.76
TEST_064,30.07,75.96
TEST_065,27.2,56.19
TEST_066,38.3,68.08
TEST_067,26.88,51.35
TEST_068,44.43,78.97
TEST_069,30.23,68.64
TEST_070,19.04,25.76
TEST_071,45.92,68.05
TEST_072,53.99,86.89
TEST_073,43.48,74.33
TEST_074,33.01,48.04
TEST_075,41.54,58.38
TEST_076,27.04,48.34
TEST_077,56.42,68.13
TEST_078,49.89,63.88
TEST_079,12.42,17.91
TEST_080,40.56,52.56
TEST_081,29.81,51.84
TEST_082,22.41,43.95
TEST_083,16.86,27.1
TEST_084,10.56,29.64
TEST_085,38.71,49.84
TEST_086,12.25,9.06
TEST_087,45.31,54.77
TEST_088,57.3,82.16
TEST_089,61.18,82.7
TEST_090,32.32,47.42
TEST_091,16.91,22.73
TEST_092,25.82,37.6
TEST_093,51.02,86.64
TEST_094,32.62,50.94
TEST_095,26.68,49.96
TEST_096,58.21,79.82
TEST_097,52.29,69.32
TEST_098,8.85,34.87
TEST_099,28.47,41.87
TEST_100,47.89,66.4
TEST_101,7.24,45.72
TEST_102,53.1,70.79
TEST_103,31.86,52.47
TEST_104,35.98,53.67
TEST_105,56.81,89.12
TEST_106,49.3,59.85
TEST_107,26.58,49.67
TEST_108,51.73,91.94
TEST_109,31.82,74.25
TEST_110,45.74,66.0
TEST_111,28.8,54.62
TEST_112,17.11,23.21
TEST_113,48.24,66.83
TEST_114,38.94,80.41
TEST_115,11.52,36.62
TEST_116,31.34,57.38
TEST_117,44.08,73.51
TEST_118,27.46,48.61
TEST_119,45.57,63.53
TEST_120,43.98,62.18
TEST_121,51.41,77.83
TEST_122,34.5,55.39
TEST_123,41.32,62.79
TEST_124,16.62,28.5
TEST_125,48.04,69.36
TEST_126,16.64,30.48
TEST_127,41.11,66.62
TEST_128,43.53,65.3
TEST_129,8.08,37.64
TEST_130,39.93,70.68
TEST_131,12.39,27.35
TEST_132,27.29,52.5
TEST_133,31.72,58.88
TEST_134,21.06,43.58
TEST_135,24.59,49.55
TEST_136,35.83,54.82
TEST_137,29.39,69.66
TEST_138,8.98,10.86
TEST_139,7.74,11.01
TEST_140,7.97,15.28
TEST_141,20.9,20.51
TEST_142,22.35,33.01
TEST_143,14.23,26.26
TEST_144,38.3,56.82
TEST_145,22.38,56.91
TEST_146,36.52,48.71
TEST_147,54.57,86.32
TEST_148,12.29,30.39
TEST_149,31.94,41.33
TEST_150,28.99,56.28
TEST_151,47.78,64.33
TEST_152,48.82,80.62
TEST_153,13.5,28.63
TEST_154,31.05,65.6
TEST_155,45.12,60.17
TEST_156,20.84,47.31
