id,MLM,HLM
TEST_000,10.69,32.26
TEST_001,60.14,80.6
TEST_002,38.08,61.42
TEST_003,42.04,71.28
TEST_004,59.15,85.02
TEST_005,57.95,85.38
TEST_006,15.35,40.99
TEST_007,25.1,56.92
TEST_008,13.02,24.49
TEST_009,11.59,50.89
TEST_010,15.32,35.3
TEST_011,54.91,82.66
TEST_012,65.52,86.44
TEST_013,28.36,61.05
TEST_014,13.65,31.15
TEST_015,59.58,81.06
TEST_016,54.24,65.14
TEST_017,33.78,66.17
TEST_018,69.14,83.73
TEST_019,49.78,77.44
TEST_020,9.6,22.75
TEST_021,10.6,25.13
TEST_022,13.86,26.95
TEST_023,14.58,29.07
TEST_024,9.55,19.76
TEST_025,12.67,43.63
TEST_026,12.92,48.55
TEST_027,65.61,93.16
TEST_028,21.28,58.57
TEST_029,59.75,57.37
TEST_030,57.12,78.03
TEST_031,3.88,15.29
TEST_032,5.31,33.76
TEST_033,25.69,51.25
TEST_034,18.11,53.41
TEST_035,7.1,10.63
TEST_036,25.33,58.29
TEST_037,58.03,80.33
TEST_038,18.08,54.32
TEST_039,4.62,24.43
TEST_040,40.14,46.72
TEST_041,70.36,101.37
TEST_042,12.74,8.7
TEST_043,6.32,30.56
TEST_044,5.26,30.45
TEST_045,77.15,87.56
TEST_046,9.38,33.41
TEST_047,6.84,21.56
TEST_048,61.11,76.83
TEST_049,40.95,66.0
TEST_050,72.04,80.51
TEST_051,14.56,33.52
TEST_052,24.99,43.19
TEST_053,29.85,51.83
TEST_054,6.37,27.14
TEST_055,10.0,34.6
TEST_056,38.38,62.75
TEST_057,50.02,71.65
TEST_058,7.21,10.65
TEST_059,31.18,43.72
TEST_060,3.63,19.86
TEST_061,44.52,73.97
TEST_062,40.93,65.34
TEST_063,67.66,87.02
TEST_064,49.73,79.87
TEST_065,49.92,77.76
TEST_066,43.88,75.33
TEST_067,70.41,86.85
TEST_068,31.8,64.0
TEST_069,23.52,48.32
TEST_070,23.74,52.78
TEST_071,20.2,49.55
TEST_072,28.03,53.53
TEST_073,45.4,82.79
TEST_074,17.51,33.15
TEST_075,64.1,84.96
TEST_076,50.55,72.44
TEST_077,35.43,48.31
TEST_078,37.06,61.54
TEST_079,18.06,23.9
TEST_080,61.01,80.97
TEST_081,73.4,84.9
TEST_082,15.03,38.06
TEST_083,7.97,13.98
TEST_084,15.43,39.03
TEST_085,71.93,77.83
TEST_086,35.0,44.15
TEST_087,80.92,90.05
TEST_088,45.91,70.1
TEST_089,47.93,79.46
TEST_090,19.63,39.79
TEST_091,18.09,31.76
TEST_092,55.33,71.99
TEST_093,19.13,48.56
TEST_094,85.68,85.79
TEST_095,19.84,46.05
TEST_096,75.64,89.7
TEST_097,86.45,87.48
TEST_098,4.04,13.8
TEST_099,4.15,6.71
TEST_100,69.59,83.96
TEST_101,2.59,18.4
TEST_102,53.74,83.43
TEST_103,32.51,71.2
TEST_104,21.29,40.83
TEST_105,44.35,70.19
TEST_106,34.48,48.71
TEST_107,79.75,86.14
TEST_108,48.46,80.14
TEST_109,6.24,23.35
TEST_110,16.7,50.13
TEST_111,10.64,44.94
TEST_112,16.98,31.25
TEST_113,48.29,61.94
TEST_114,21.02,59.11
TEST_115,5.95,21.32
TEST_116,11.75,25.45
TEST_117,27.99,56.65
TEST_118,26.19,39.86
TEST_119,15.39,34.93
TEST_120,49.14,72.45
TEST_121,30.33,57.14
TEST_122,10.62,23.49
TEST_123,57.25,82.77
TEST_124,5.24,22.29
TEST_125,62.3,83.21
TEST_126,12.55,45.43
TEST_127,71.94,94.13
TEST_128,63.18,81.14
TEST_129,8.14,27.08
TEST_130,26.96,62.14
TEST_131,11.21,35.91
TEST_132,8.0,32.6
TEST_133,51.49,77.0
TEST_134,9.2,27.7
TEST_135,46.68,71.25
TEST_136,78.77,91.46
TEST_137,33.34,66.25
TEST_138,15.06,13.98
TEST_139,54.66,71.8
TEST_140,0.72,16.7
TEST_141,9.81,17.77
TEST_142,58.26,71.61
TEST_143,30.69,51.2
TEST_144,49.05,74.09
TEST_145,13.09,21.26
TEST_146,80.57,90.44
TEST_147,54.92,85.25
TEST_148,2.21,17.95
TEST_149,26.28,64.62
TEST_150,20.73,65.01
TEST_151,59.07,79.16
TEST_152,24.44,50.92
TEST_153,-0.27,13.23
TEST_154,32.25,58.1
TEST_155,38.12,66.95
TEST_156,9.92,42.73
TEST_157,21.55,47.05
TEST_158,12.22,36.18
TEST_159,10.75,22.37
TEST_160,63.86,80.07
TEST_161,30.37,54.26
TEST_162,90.98,88.75
TEST_163,73.49,84.11
TEST_164,16.11,33.55
TEST_165,15.7,38.69
TEST_166,0.3,11.17
TEST_167,30.22,63.51
TEST_168,79.12,94.39
TEST_169,1.76,7.38
TEST_170,10.97,36.4
