Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.1441,0.1174,0.6243,0.8426
1,2,0.0635,0.0345,0.8692,0.9296
1,3,0.0382,0.0117,0.9225,0.9593
1,4,0.0269,0.0204,0.8873,0.9407
1,5,0.0116,0.0206,0.9073,0.95
1,6,0.0086,0.0252,0.9142,0.9556
1,7,0.0064,0.0223,0.9134,0.9556
1,8,0.0029,0.0275,0.9218,0.9593
1,9,0.0069,0.0174,0.9109,0.9537
1,10,0.0022,0.0207,0.9165,0.9556
1,11,0.006,0.0186,0.9007,0.9481
1,12,0.0039,0.0194,0.9241,0.9611
1,13,0.003,0.0224,0.9078,0.9519
1,14,0.0034,0.0233,0.921,0.9593
1,15,0.0034,0.0206,0.9109,0.9537
1,16,0.002,0.022,0.9146,0.9556
1,17,0.0052,0.0177,0.9103,0.9537
1,18,0.0034,0.0199,0.9081,0.9519
1,19,0.0026,0.0207,0.9007,0.9481
1,20,0.0017,0.0183,0.9109,0.9537
2,1,0.1597,0.0847,0.7495,0.8407
2,2,0.0605,0.0143,0.8687,0.9296
2,3,0.0342,0.0109,0.9375,0.9667
2,4,0.0248,0.0122,0.9077,0.95
2,5,0.0157,0.0111,0.897,0.9463
2,6,0.0093,0.0138,0.9116,0.9556
2,7,0.0066,0.0114,0.9257,0.9611
2,8,0.0079,0.0098,0.9292,0.963
2,9,0.0056,0.0087,0.9317,0.9648
2,10,0.0032,0.0105,0.9182,0.9574
2,11,0.0037,0.0101,0.9241,0.9611
2,12,0.0027,0.0119,0.9246,0.9611
2,13,0.0035,0.0111,0.9242,0.9611
2,14,0.0045,0.0101,0.9313,0.9648
2,15,0.0043,0.0103,0.9278,0.963
2,16,0.003,0.0104,0.9207,0.9593
2,17,0.0036,0.0127,0.9349,0.9667
2,18,0.0026,0.0112,0.9277,0.963
2,19,0.006,0.0113,0.9242,0.9611
2,20,0.0035,0.0101,0.9239,0.9593
