Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.148,0.0876,0.6189,0.8407
1,2,0.0696,0.0307,0.8667,0.9259
1,3,0.0396,0.0128,0.9272,0.9611
1,4,0.0247,0.0137,0.8894,0.9426
1,5,0.0098,0.0167,0.8993,0.9444
1,6,0.0089,0.0145,0.9233,0.9574
1,7,0.0059,0.0137,0.9065,0.9519
1,8,0.0023,0.0166,0.9132,0.9537
1,9,0.0075,0.0128,0.9254,0.9593
1,10,0.0023,0.014,0.931,0.963
1,11,0.0067,0.0132,0.9277,0.9611
1,12,0.0033,0.0105,0.9278,0.9611
1,13,0.0028,0.0142,0.9099,0.9519
1,14,0.0034,0.0155,0.9139,0.9537
1,15,0.004,0.0122,0.926,0.9611
1,16,0.0021,0.0146,0.9206,0.9574
1,17,0.0073,0.0099,0.9289,0.9611
1,18,0.0038,0.0142,0.9352,0.9648
1,19,0.003,0.0136,0.9232,0.9574
1,20,0.0015,0.0101,0.9414,0.9685
2,1,0.1579,0.0508,0.8038,0.8926
2,2,0.0663,0.0283,0.858,0.9185
2,3,0.0368,0.0131,0.9221,0.9593
2,4,0.0199,0.013,0.9033,0.9444
2,5,0.0163,0.0151,0.9075,0.9519
2,6,0.0126,0.0174,0.9107,0.9519
2,7,0.0065,0.0162,0.9137,0.9519
2,8,0.0094,0.0112,0.9168,0.9556
2,9,0.0064,0.0116,0.909,0.9519
2,10,0.0036,0.0119,0.9131,0.9537
2,11,0.004,0.0129,0.9264,0.9611
2,12,0.0024,0.0134,0.9157,0.9556
2,13,0.0039,0.0132,0.9068,0.95
2,14,0.0061,0.0127,0.9128,0.9537
2,15,0.0048,0.0125,0.9102,0.9519
2,16,0.0024,0.0117,0.9192,0.9574
2,17,0.0048,0.0136,0.9208,0.9574
2,18,0.0022,0.0139,0.9118,0.9537
2,19,0.0061,0.0134,0.914,0.9537
2,20,0.0049,0.0149,0.9202,0.9574
3,1,0.148,0.0439,0.8022,0.8926
3,2,0.0561,0.0163,0.8769,0.9333
3,3,0.0386,0.0177,0.8675,0.9296
3,4,0.0183,0.0117,0.9199,0.9593
3,5,0.0138,0.0144,0.8972,0.9444
3,6,0.0059,0.0117,0.918,0.9574
3,7,0.0085,0.012,0.8976,0.9463
3,8,0.0065,0.0113,0.9464,0.9722
3,9,0.006,0.0132,0.9094,0.9537
3,10,0.0058,0.0108,0.9309,0.9648
3,11,0.0034,0.0117,0.9145,0.9556
3,12,0.0026,0.0123,0.918,0.9574
3,13,0.0029,0.0131,0.9074,0.9519
3,14,0.0045,0.0115,0.9397,0.9685
3,15,0.0025,0.0113,0.9288,0.963
3,16,0.0014,0.0112,0.9162,0.9556
3,17,0.0039,0.0108,0.9326,0.9648
3,18,0.0015,0.0132,0.9174,0.9574
3,19,0.0039,0.0117,0.9182,0.9574
3,20,0.0025,0.0108,0.9182,0.9574
4,1,0.1601,0.0691,0.7185,0.8516
4,2,0.0666,0.0563,0.742,0.8776
4,3,0.0221,0.009,0.9205,0.9573
4,4,0.0163,0.0164,0.8889,0.9388
4,5,0.0147,0.0085,0.9111,0.9536
4,6,0.0088,0.0124,0.8867,0.9406
4,7,0.0092,0.0137,0.8969,0.9462
4,8,0.0107,0.008,0.9089,0.9536
4,9,0.0039,0.0086,0.91,0.9536
4,10,0.0039,0.0136,0.8942,0.9462
4,11,0.003,0.0063,0.9341,0.9666
4,12,0.0019,0.0081,0.9162,0.9573
4,13,0.0031,0.0127,0.8928,0.9443
4,14,0.0026,0.0102,0.9125,0.9555
4,15,0.005,0.0104,0.9089,0.9536
4,16,0.0017,0.0127,0.9088,0.9536
4,17,0.0024,0.0099,0.9125,0.9555
4,18,0.0033,0.0078,0.9198,0.9592
4,19,0.0016,0.0066,0.9271,0.9629
4,20,0.0022,0.0071,0.927,0.9629
5,1,0.1546,0.0242,0.8515,0.9221
5,2,0.0724,0.0196,0.8603,0.9239
5,3,0.0344,0.0136,0.8848,0.9406
5,4,0.0191,0.0275,0.854,0.9295
5,5,0.015,0.011,0.9083,0.9536
5,6,0.0079,0.0108,0.8935,0.9462
5,7,0.0062,0.0143,0.904,0.9518
5,8,0.0027,0.0163,0.8752,0.9351
5,9,0.0038,0.0125,0.9045,0.9518
5,10,0.0024,0.0127,0.9016,0.9499
5,11,0.0037,0.0131,0.9093,0.9536
5,12,0.0032,0.0133,0.9057,0.9518
5,13,0.0047,0.0146,0.9221,0.9592
5,14,0.0046,0.0147,0.9231,0.961
5,15,0.0031,0.0148,0.9098,0.9536
5,16,0.0014,0.0146,0.9164,0.9573
5,17,0.0018,0.0162,0.9031,0.9499
5,18,0.0012,0.0154,0.9035,0.9499
5,19,0.0021,0.0148,0.9021,0.9499
5,20,0.0016,0.0153,0.9011,0.9499
6,1,0.1448,0.0476,0.7918,0.8667
6,2,0.0839,0.0205,0.8521,0.9222
6,3,0.0279,0.0259,0.81,0.9
6,4,0.0203,0.0287,0.9066,0.9481
6,5,0.0088,0.0166,0.8883,0.9444
6,6,0.0078,0.0207,0.9054,0.95
6,7,0.0058,0.0146,0.9063,0.9519
6,8,0.0053,0.0125,0.9121,0.9556
6,9,0.0043,0.0157,0.912,0.9556
6,10,0.0028,0.0172,0.9045,0.9519
6,11,0.0033,0.0132,0.9211,0.9593
6,12,0.0037,0.0158,0.9168,0.9574
6,13,0.0027,0.0162,0.9154,0.9574
6,14,0.0024,0.0116,0.9125,0.9556
6,15,0.0037,0.0126,0.9162,0.9574
6,16,0.0029,0.0135,0.9173,0.9574
6,17,0.0027,0.0128,0.921,0.9593
6,18,0.0022,0.0165,0.9203,0.9593
6,19,0.0014,0.0127,0.9211,0.9593
6,20,0.0023,0.0146,0.9134,0.9556
