Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.1485,0.4596,0.5708,0.5852
1,2,0.0325,0.0197,0.8884,0.937
1,3,0.0095,0.0203,0.8856,0.937
1,4,0.0038,0.025,0.8692,0.9315
1,5,0.0036,0.0271,0.9013,0.9463
1,6,0.0033,0.0304,0.921,0.9574
1,7,0.0012,0.0267,0.9249,0.9593
1,8,0.0011,0.023,0.9153,0.9537
1,9,0.0006,0.0317,0.9348,0.963
1,10,0.0005,0.0257,0.9345,0.963
1,11,0.0005,0.0368,0.9275,0.9611
1,12,0.0004,0.0364,0.9167,0.9537
1,13,0.0004,0.0339,0.9297,0.9611
1,14,0.0003,0.0315,0.9261,0.9593
1,15,0.0003,0.0325,0.923,0.9574
1,16,0.0003,0.0322,0.9275,0.9593
1,17,0.0004,0.0274,0.9288,0.9611
1,18,0.0003,0.0411,0.9226,0.9574
1,19,0.0002,0.0358,0.9255,0.9593
1,20,0.0002,0.0316,0.9185,0.9537
1,21,0.0006,0.033,0.9127,0.9519
1,22,0.0003,0.0348,0.9142,0.9519
1,23,0.0003,0.0338,0.9332,0.9611
1,24,0.0004,0.0313,0.9265,0.9593
1,25,0.0002,0.0321,0.9235,0.9574
1,26,0.0002,0.0331,0.9214,0.9574
1,27,0.0002,0.0339,0.9227,0.9574
1,28,0.0002,0.0309,0.9323,0.963
1,29,0.0002,0.0315,0.9279,0.9593
1,30,0.0001,0.0376,0.9247,0.9593
1,31,0.0002,0.0393,0.9236,0.9574
1,32,0.0003,0.0283,0.9225,0.9574
1,33,0.0002,0.0298,0.9216,0.9556
1,34,0.0002,0.0317,0.9247,0.9593
1,35,0.0002,0.0296,0.9231,0.9574
1,36,0.0002,0.0356,0.9222,0.9556
1,37,0.0002,0.0382,0.9244,0.9574
1,38,0.0003,0.0384,0.9336,0.963
1,39,0.0002,0.0311,0.9222,0.9574
1,40,0.0002,0.0326,0.9253,0.9574
1,41,0.0002,0.0278,0.9197,0.9556
1,42,0.0004,0.0311,0.9235,0.9574
1,43,0.0002,0.0378,0.9228,0.9574
1,44,0.0002,0.0389,0.925,0.9593
1,45,0.0003,0.0294,0.9231,0.9574
1,46,0.0002,0.0282,0.9197,0.9556
1,47,0.0002,0.0367,0.9141,0.9519
1,48,0.0002,0.035,0.9222,0.9574
1,49,0.0002,0.0329,0.926,0.9593
1,50,0.0002,0.035,0.9264,0.9593
