Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.1502,0.4185,0.6057,0.6167
1,2,0.0311,0.0185,0.9039,0.9463
1,3,0.0144,0.023,0.9021,0.9463
1,4,0.0085,0.0293,0.8519,0.9185
1,5,0.0043,0.0267,0.8774,0.9315
1,6,0.0017,0.0353,0.9017,0.9444
1,7,0.0015,0.0285,0.9122,0.9519
1,8,0.0012,0.0262,0.9013,0.9463
1,9,0.0011,0.0402,0.9054,0.9463
1,10,0.0008,0.0348,0.8982,0.9426
1,11,0.0006,0.0391,0.8983,0.9426
1,12,0.0007,0.0502,0.9039,0.9463
1,13,0.0005,0.0413,0.9028,0.9444
1,14,0.0007,0.0407,0.9029,0.9463
1,15,0.0006,0.0474,0.9008,0.9444
1,16,0.0004,0.0467,0.8972,0.9426
1,17,0.0004,0.0375,0.8993,0.9444
1,18,0.0004,0.0462,0.8978,0.9426
1,19,0.0007,0.0465,0.8977,0.9426
1,20,0.0007,0.0394,0.8989,0.9426
1,21,0.0005,0.0404,0.9053,0.9481
1,22,0.0006,0.0445,0.9003,0.9444
1,23,0.0006,0.045,0.8983,0.9426
1,24,0.0005,0.0396,0.8972,0.9426
1,25,0.0005,0.0407,0.8977,0.9426
1,26,0.0005,0.0482,0.9028,0.9463
1,27,0.0005,0.0402,0.909,0.9481
1,28,0.0004,0.0436,0.9043,0.9463
1,29,0.0005,0.042,0.9009,0.9444
1,30,0.0004,0.0477,0.9071,0.9481
1,31,0.0005,0.0475,0.9088,0.9481
1,32,0.0004,0.0311,0.9009,0.9444
1,33,0.0004,0.0423,0.8983,0.9426
1,34,0.0004,0.042,0.9116,0.95
1,35,0.0005,0.0366,0.8912,0.9389
1,36,0.0004,0.05,0.9029,0.9444
1,37,0.0004,0.0479,0.8991,0.9426
1,38,0.0005,0.0548,0.9078,0.9481
1,39,0.0006,0.0398,0.9054,0.9463
1,40,0.0004,0.0425,0.8997,0.9426
1,41,0.0006,0.0335,0.8999,0.9444
1,42,0.0008,0.0427,0.8983,0.9426
1,43,0.0005,0.0459,0.8997,0.9426
1,44,0.0007,0.0455,0.9065,0.9481
1,45,0.0004,0.0401,0.8947,0.9407
1,46,0.0005,0.0381,0.8946,0.9407
1,47,0.0004,0.0456,0.9105,0.9481
1,48,0.0006,0.0437,0.8918,0.9389
1,49,0.0003,0.0418,0.8918,0.9389
1,50,0.0004,0.0435,0.9054,0.9463
