Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.0486,0.0139,0.8877,0.9563
1,2,0.0186,0.0132,0.9341,0.9727
1,3,0.0169,0.0155,0.9341,0.9727
1,4,0.0076,0.0119,0.8709,0.9508
1,5,0.0085,0.0141,0.9439,0.9781
1,6,0.0032,0.0144,0.9462,0.9781
1,7,0.0012,0.0163,0.9283,0.9727
1,8,0.0009,0.0138,0.9462,0.9781
1,9,0.0013,0.0136,0.9588,0.9836
1,10,0.0005,0.0139,0.9225,0.9672
1,11,0.0004,0.0152,0.9313,0.9727
1,12,0.0008,0.0187,0.9113,0.9617
1,13,0.0025,0.0201,0.9113,0.9617
1,14,0.0006,0.0182,0.9341,0.9727
1,15,0.0005,0.0184,0.9193,0.9672
1,16,0.0004,0.0206,0.9462,0.9781
1,17,0.0004,0.0173,0.9193,0.9672
1,18,0.0012,0.0203,0.9341,0.9727
1,19,0.0003,0.0187,0.9462,0.9781
1,20,0.0003,0.0172,0.9341,0.9727
2,1,0.0423,0.0114,0.962,0.9836
2,2,0.0166,0.0212,0.9281,0.9672
2,3,0.0044,0.016,0.9281,0.9672
2,4,0.0109,0.0289,0.9175,0.9617
2,5,0.005,0.0184,0.9281,0.9672
2,6,0.0025,0.0154,0.9503,0.9781
2,7,0.0033,0.0126,0.9503,0.9781
2,8,0.0011,0.0143,0.939,0.9727
2,9,0.003,0.0132,0.939,0.9727
2,10,0.0024,0.0151,0.939,0.9727
2,11,0.0011,0.0103,0.9503,0.9781
2,12,0.0007,0.0134,0.939,0.9727
2,13,0.0031,0.0142,0.9281,0.9672
2,14,0.0019,0.0145,0.939,0.9727
2,15,0.0008,0.0122,0.9503,0.9781
2,16,0.0013,0.0213,0.9175,0.9617
2,17,0.0006,0.0145,0.939,0.9727
2,18,0.0017,0.0161,0.939,0.9727
2,19,0.0014,0.0188,0.939,0.9727
2,20,0.0016,0.0164,0.9503,0.9781
3,1,0.0698,0.0208,0.9119,0.9672
3,2,0.0138,0.0232,0.9158,0.9672
3,3,0.0058,0.0248,0.9039,0.9617
3,4,0.0052,0.0449,0.9076,0.9672
3,5,0.0107,0.0111,0.8967,0.9563
3,6,0.0069,0.016,0.8924,0.9563
3,7,0.0022,0.0145,0.8924,0.9563
3,8,0.0037,0.0128,0.8924,0.9563
3,9,0.0111,0.0115,0.8924,0.9563
3,10,0.001,0.0134,0.8924,0.9563
3,11,0.0014,0.0137,0.8924,0.9563
3,12,0.0032,0.0141,0.8924,0.9563
3,13,0.0009,0.0116,0.9039,0.9617
3,14,0.0021,0.0132,0.8924,0.9563
3,15,0.0035,0.0129,0.8924,0.9563
3,16,0.0028,0.0128,0.8924,0.9563
3,17,0.0044,0.0117,0.8924,0.9563
3,18,0.0012,0.0125,0.8924,0.9563
3,19,0.0037,0.0132,0.8924,0.9563
3,20,0.002,0.0127,0.9039,0.9617
4,1,0.0455,0.0357,0.8152,0.9344
4,2,0.0137,0.0401,0.8877,0.9563
4,3,0.0139,0.0496,0.8996,0.9617
4,4,0.0024,0.0491,0.8709,0.9508
4,5,0.0032,0.0785,0.8647,0.9508
4,6,0.0125,0.1042,0.8768,0.9563
4,7,0.0019,0.0337,0.8877,0.9563
4,8,0.002,0.0358,0.8764,0.9508
4,9,0.0022,0.0464,0.8709,0.9508
4,10,0.0009,0.041,0.8877,0.9563
4,11,0.0009,0.0412,0.8877,0.9563
4,12,0.0017,0.054,0.8709,0.9508
4,13,0.0018,0.0477,0.8825,0.9563
4,14,0.0019,0.0456,0.8825,0.9563
4,15,0.0006,0.0441,0.8877,0.9563
4,16,0.0006,0.0472,0.8877,0.9563
4,17,0.0007,0.0488,0.8825,0.9563
4,18,0.0008,0.0653,0.8825,0.9563
4,19,0.0005,0.0546,0.8825,0.9563
4,20,0.0006,0.0525,0.8709,0.9508
5,1,0.0503,0.0176,0.8996,0.9617
5,2,0.023,0.028,0.9283,0.9727
5,3,0.0142,0.0151,0.8655,0.9454
5,4,0.004,0.0222,0.9119,0.9672
5,5,0.0049,0.0123,0.9039,0.9617
5,6,0.0036,0.0217,0.9158,0.9672
5,7,0.0019,0.0163,0.8709,0.9508
5,8,0.0011,0.024,0.9119,0.9672
5,9,0.0026,0.0163,0.8948,0.9617
5,10,0.0023,0.0149,0.8709,0.9508
5,11,0.0014,0.0114,0.8532,0.9454
5,12,0.0006,0.0125,0.8709,0.9508
5,13,0.0023,0.0163,0.8825,0.9563
5,14,0.0008,0.0145,0.8709,0.9508
5,15,0.0009,0.0155,0.8825,0.9563
5,16,0.0014,0.0183,0.8825,0.9563
5,17,0.0006,0.0188,0.8825,0.9563
5,18,0.0008,0.0166,0.8647,0.9508
5,19,0.0008,0.0155,0.8709,0.9508
5,20,0.0006,0.0309,0.9283,0.9727
