Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.1919,0.0993,0.4863,0.8087
1,2,0.0855,0.1099,0.6086,0.8033
1,3,0.0334,0.0896,0.6796,0.8415
1,4,0.0064,0.1517,0.6798,0.8142
1,5,0.0019,0.1808,0.7033,0.8142
1,6,0.0093,0.1234,0.6853,0.8361
1,7,0.0023,0.1298,0.6905,0.8415
1,8,0.0014,0.1602,0.7083,0.8306
1,9,0.0007,0.146,0.727,0.8415
1,10,0.0011,0.1374,0.7037,0.8306
1,11,0.0004,0.1501,0.7125,0.8306
1,12,0.0005,0.1855,0.7164,0.8306
1,13,0.0004,0.1725,0.7036,0.8251
1,14,0.0003,0.1552,0.7125,0.8306
1,15,0.0002,0.1511,0.7178,0.8361
1,16,0.0002,0.1525,0.6994,0.8251
1,17,0.0003,0.1552,0.7083,0.8306
1,18,0.0005,0.1516,0.6786,0.8142
1,19,0.0001,0.1682,0.6831,0.8142
1,20,0.0002,0.1626,0.6873,0.8142
1,21,0.0002,0.1531,0.678,0.8142
1,22,0.0001,0.1696,0.7095,0.8251
1,23,0.0002,0.1485,0.6948,0.8251
1,24,0.0003,0.1682,0.6888,0.8251
1,25,0.0002,0.1589,0.6978,0.8306
1,26,0.0002,0.1513,0.7281,0.847
1,27,0.0002,0.1504,0.7229,0.8415
1,28,0.0002,0.1654,0.7003,0.8251
1,29,0.0002,0.1606,0.7214,0.8361
1,30,0.0002,0.1392,0.7037,0.8306
1,31,0.0003,0.1424,0.7083,0.8306
1,32,0.0021,0.1592,0.7003,0.8251
1,33,0.0001,0.1968,0.7041,0.8251
1,34,0.0002,0.1507,0.7083,0.8306
1,35,0.0002,0.1543,0.7175,0.8361
1,36,0.0001,0.1756,0.7134,0.8251
1,37,0.0003,0.1901,0.6939,0.8197
1,38,0.0001,0.1729,0.7125,0.8306
1,39,0.0002,0.18,0.7019,0.8306
1,40,0.0004,0.1596,0.7134,0.8361
1,41,0.0001,0.1567,0.678,0.8142
1,42,0.0005,0.1524,0.7055,0.8306
1,43,0.0001,0.1704,0.7075,0.8251
1,44,0.0013,0.1916,0.7309,0.8415
1,45,0.0002,0.1566,0.6976,0.8251
1,46,0.0003,0.146,0.6944,0.8197
1,47,0.0001,0.1565,0.7083,0.8306
1,48,0.0001,0.188,0.6894,0.8306
1,49,0.0002,0.1617,0.7176,0.8361
1,50,0.0001,0.166,0.6757,0.8087
2,1,0.222,0.1067,0.5056,0.8087
2,2,0.1003,0.1344,0.62,0.7978
2,3,0.0453,0.0816,0.7024,0.847
2,4,0.0127,0.0878,0.7124,0.8306
2,5,0.0091,0.0782,0.7445,0.8634
2,6,0.0034,0.1707,0.6719,0.7814
2,7,0.0025,0.0679,0.7368,0.8579
2,8,0.0038,0.0779,0.7471,0.8634
2,9,0.0013,0.0815,0.7471,0.8579
2,10,0.0007,0.0861,0.7643,0.8634
2,11,0.0008,0.0825,0.7401,0.8689
2,12,0.0034,0.1068,0.7146,0.8634
2,13,0.0011,0.1157,0.741,0.8634
2,14,0.0004,0.1307,0.7186,0.8415
2,15,0.0022,0.1199,0.7498,0.8525
2,16,0.0004,0.1178,0.741,0.8634
2,17,0.0003,0.1253,0.7476,0.8689
2,18,0.0007,0.1115,0.7319,0.8579
2,19,0.0003,0.1218,0.718,0.8525
2,20,0.0003,0.1165,0.7213,0.847
2,21,0.0003,0.1289,0.7203,0.8415
2,22,0.0002,0.1125,0.7149,0.847
2,23,0.0002,0.1201,0.7476,0.8689
2,24,0.0002,0.1131,0.7432,0.8525
2,25,0.0003,0.1217,0.7266,0.8525
2,26,0.0002,0.1165,0.7235,0.8525
2,27,0.0004,0.1218,0.7372,0.8525
2,28,0.0002,0.111,0.741,0.8634
2,29,0.0002,0.1123,0.741,0.8634
2,30,0.0003,0.116,0.7507,0.8689
2,31,0.0003,0.1129,0.7236,0.8415
2,32,0.0002,0.1144,0.7255,0.8579
2,33,0.0002,0.119,0.741,0.8634
2,34,0.0006,0.1095,0.7426,0.8579
2,35,0.0002,0.1107,0.7395,0.8579
2,36,0.0003,0.1103,0.7426,0.8579
2,37,0.0003,0.1158,0.7379,0.8634
2,38,0.0003,0.1123,0.7204,0.8525
2,39,0.0005,0.1142,0.7643,0.8634
2,40,0.0004,0.1123,0.7234,0.8525
2,41,0.0002,0.1062,0.7579,0.8689
2,42,0.0003,0.1294,0.718,0.8525
2,43,0.0003,0.1215,0.7304,0.8525
2,44,0.0002,0.1185,0.7379,0.8634
2,45,0.0002,0.1197,0.7507,0.8689
2,46,0.0002,0.1272,0.7063,0.8306
2,47,0.0003,0.1129,0.7304,0.8525
2,48,0.0002,0.129,0.7063,0.8306
2,49,0.0002,0.117,0.7088,0.847
2,50,0.0002,0.122,0.7194,0.8579
3,1,0.233,0.123,0.5681,0.8197
3,2,0.0709,0.1917,0.6007,0.8306
3,3,0.0414,0.1214,0.6885,0.8361
3,4,0.0255,0.1479,0.6401,0.8251
3,5,0.0071,0.1113,0.6888,0.8415
3,6,0.0065,0.1158,0.6933,0.847
3,7,0.0023,0.1149,0.6688,0.847
3,8,0.0014,0.1016,0.7138,0.8579
3,9,0.0008,0.1064,0.6676,0.8525
3,10,0.0004,0.0949,0.7001,0.8634
3,11,0.0006,0.1066,0.7084,0.8634
3,12,0.0004,0.092,0.7149,0.8689
3,13,0.0003,0.0986,0.6843,0.8579
3,14,0.0008,0.1096,0.6914,0.8525
3,15,0.0005,0.0948,0.6862,0.8579
3,16,0.0002,0.109,0.6905,0.8579
3,17,0.0004,0.1048,0.6905,0.8579
3,18,0.0003,0.1046,0.6837,0.8579
3,19,0.0002,0.1049,0.6545,0.8415
3,20,0.0002,0.0984,0.7243,0.8689
3,21,0.0001,0.0978,0.6565,0.847
3,22,0.0001,0.1031,0.6898,0.8579
3,23,0.0005,0.1054,0.7136,0.8689
3,24,0.0001,0.1067,0.6843,0.8579
3,25,0.0002,0.1004,0.6972,0.8579
3,26,0.0002,0.0996,0.7077,0.8634
3,27,0.0004,0.1093,0.68,0.8579
3,28,0.0037,0.101,0.7112,0.8689
3,29,0.0002,0.1029,0.6805,0.8525
3,30,0.0002,0.1053,0.6905,0.8579
3,31,0.0003,0.0958,0.7029,0.8579
3,32,0.0003,0.1079,0.6623,0.8525
3,33,0.0002,0.1065,0.701,0.8634
3,34,0.0002,0.0929,0.6722,0.8525
3,35,0.0005,0.1108,0.6931,0.8579
3,36,0.0002,0.1151,0.6812,0.8525
3,37,0.0002,0.1045,0.7178,0.8634
3,38,0.0002,0.1046,0.7051,0.8634
3,39,0.0004,0.1159,0.6939,0.8634
3,40,0.0002,0.1002,0.7262,0.8689
3,41,0.0002,0.0935,0.6998,0.8525
3,42,0.0003,0.1076,0.695,0.8579
3,43,0.0002,0.0958,0.6522,0.847
3,44,0.0002,0.109,0.7112,0.8689
