Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.5958,0.2927,0.3888,0.6574
1,2,0.1044,0.0274,0.8557,0.9222
1,3,0.051,0.0203,0.8674,0.9296
1,4,0.0551,0.0286,0.8885,0.9352
1,5,0.0269,0.0388,0.8936,0.9407
1,6,0.0191,0.0224,0.9138,0.9537
1,7,0.0154,0.0259,0.8914,0.9352
1,8,0.0227,0.0398,0.8949,0.9407
1,9,0.0079,0.0303,0.9049,0.95
1,10,0.0071,0.0303,0.9192,0.9574
1,11,0.007,0.0308,0.9168,0.9556
1,12,0.0042,0.0327,0.9167,0.9556
1,13,0.003,0.0358,0.9129,0.9537
1,14,0.0031,0.0277,0.9228,0.9593
1,15,0.0039,0.0377,0.9128,0.9519
1,16,0.0028,0.0301,0.9035,0.9481
1,17,0.0023,0.0315,0.9106,0.9519
1,18,0.0031,0.0267,0.9229,0.9593
1,19,0.0047,0.0323,0.9178,0.9556
1,20,0.002,0.0278,0.9127,0.9537
1,21,0.0026,0.0415,0.9002,0.9444
1,22,0.0044,0.0309,0.9053,0.95
1,23,0.002,0.0282,0.9166,0.9556
1,24,0.0034,0.0326,0.917,0.9556
1,25,0.001,0.0288,0.9237,0.9593
1,26,0.0013,0.0299,0.9008,0.9481
1,27,0.0008,0.0267,0.9193,0.9574
1,28,0.0024,0.0288,0.9153,0.9556
1,29,0.003,0.0233,0.9231,0.9593
1,30,0.0035,0.0298,0.9013,0.9481
1,31,0.0014,0.0311,0.9192,0.9574
1,32,0.0038,0.0346,0.9056,0.9481
1,33,0.0018,0.0283,0.9098,0.9519
1,34,0.0006,0.0312,0.9034,0.9481
1,35,0.0014,0.0286,0.9256,0.9611
1,36,0.0013,0.0274,0.931,0.963
1,37,0.0028,0.0289,0.9089,0.9519
1,38,0.0007,0.0353,0.9254,0.9593
1,39,0.0013,0.0329,0.9242,0.9593
1,40,0.0006,0.0393,0.913,0.9519
2,1,0.4693,0.2912,0.3735,0.6537
2,2,0.1134,0.0209,0.8222,0.9074
2,3,0.0572,0.0219,0.8628,0.9259
2,4,0.0451,0.0138,0.9013,0.9463
2,5,0.0332,0.0371,0.8683,0.9241
2,6,0.0261,0.0334,0.862,0.9315
2,7,0.0243,0.0141,0.9321,0.9648
2,8,0.0123,0.0133,0.9209,0.9574
2,9,0.0072,0.0254,0.9079,0.9519
2,10,0.0069,0.0145,0.9277,0.9611
2,11,0.0045,0.0171,0.9186,0.9574
2,12,0.0107,0.015,0.9071,0.9519
2,13,0.0061,0.0144,0.9138,0.9556
2,14,0.0052,0.0132,0.9203,0.9593
2,15,0.0065,0.0121,0.92,0.9574
2,16,0.0042,0.0155,0.9077,0.9519
2,17,0.0043,0.0142,0.9146,0.9537
2,18,0.0032,0.0135,0.9365,0.9667
2,19,0.0041,0.0166,0.9299,0.963
2,20,0.0074,0.0154,0.9281,0.9611
2,21,0.005,0.0131,0.9246,0.9611
2,22,0.0019,0.0138,0.9157,0.9574
2,23,0.0018,0.0142,0.9272,0.963
2,24,0.0012,0.0156,0.9239,0.9611
2,25,0.0013,0.0157,0.9083,0.9537
2,26,0.001,0.0128,0.9392,0.9685
2,27,0.0016,0.0126,0.927,0.9611
2,28,0.0022,0.0148,0.9272,0.963
2,29,0.0023,0.0134,0.9288,0.963
2,30,0.0041,0.0138,0.9241,0.9611
2,31,0.001,0.0135,0.932,0.9648
2,32,0.0018,0.016,0.9299,0.963
2,33,0.0009,0.0144,0.9234,0.9611
2,34,0.0022,0.0178,0.9311,0.963
2,35,0.0007,0.0131,0.9459,0.9722
2,36,0.0027,0.0167,0.9346,0.9667
2,37,0.0012,0.017,0.9361,0.9667
2,38,0.0017,0.0159,0.9318,0.9648
2,39,0.0031,0.0151,0.9348,0.9667
2,40,0.0018,0.0157,0.9164,0.9574
3,1,0.6031,0.3612,0.306,0.6574
3,2,0.109,0.0305,0.8366,0.9111
3,3,0.0642,0.0253,0.8578,0.9241
3,4,0.032,0.0265,0.8865,0.9352
3,5,0.0465,0.0302,0.8734,0.9315
3,6,0.0212,0.033,0.8669,0.9259
3,7,0.0197,0.0221,0.89,0.9426
3,8,0.0159,0.0119,0.892,0.9444
3,9,0.0122,0.0186,0.8721,0.9333
3,10,0.0044,0.0144,0.9063,0.9519
3,11,0.0092,0.0141,0.8954,0.9481
3,12,0.0044,0.0142,0.911,0.9537
3,13,0.0043,0.0128,0.8976,0.9481
3,14,0.0033,0.0133,0.8955,0.9463
3,15,0.0029,0.0131,0.909,0.9537
3,16,0.0033,0.0139,0.9071,0.9519
3,17,0.0044,0.0122,0.9124,0.9556
3,18,0.0055,0.013,0.9198,0.9593
3,19,0.0038,0.0134,0.9191,0.9593
3,20,0.0036,0.0143,0.9236,0.9611
3,21,0.0033,0.0189,0.9233,0.9611
3,22,0.0038,0.0177,0.899,0.9481
3,23,0.003,0.0194,0.9199,0.9593
3,24,0.0022,0.0226,0.9097,0.9537
3,25,0.0012,0.0213,0.9115,0.9556
3,26,0.0036,0.0175,0.9056,0.9519
3,27,0.0018,0.0195,0.9077,0.9537
3,28,0.0009,0.019,0.9121,0.9537
3,29,0.0014,0.0176,0.9161,0.9574
3,30,0.0022,0.021,0.9022,0.95
3,31,0.0016,0.0184,0.9165,0.9574
3,32,0.0009,0.0202,0.9115,0.9556
3,33,0.0017,0.0182,0.9165,0.9574
3,34,0.0026,0.0161,0.9165,0.9574
3,35,0.0009,0.0157,0.9165,0.9574
3,36,0.0009,0.0219,0.9041,0.9519
3,37,0.0012,0.0176,0.9161,0.9574
3,38,0.001,0.0197,0.9234,0.9611
3,39,0.0007,0.0208,0.9265,0.963
3,40,0.0008,0.021,0.9231,0.9611
4,1,0.6387,0.3058,0.3448,0.6716
4,2,0.1006,0.0144,0.8588,0.9239
4,3,0.0571,0.0095,0.9233,0.9592
4,4,0.0398,0.0082,0.9232,0.9592
4,5,0.0458,0.0063,0.912,0.9536
4,6,0.0325,0.0124,0.905,0.9481
4,7,0.0193,0.005,0.9612,0.9796
4,8,0.0087,0.0068,0.9198,0.9592
4,9,0.0089,0.0089,0.9282,0.961
4,10,0.0056,0.0092,0.9306,0.9629
4,11,0.0023,0.008,0.9343,0.9647
4,12,0.0017,0.0052,0.9526,0.974
4,13,0.0017,0.0055,0.955,0.9759
4,14,0.0026,0.0073,0.9319,0.9647
4,15,0.0013,0.0081,0.9343,0.9647
4,16,0.004,0.0125,0.911,0.9536
4,17,0.002,0.0058,0.9537,0.9759
4,18,0.0014,0.0063,0.9393,0.9685
4,19,0.0023,0.0049,0.9515,0.974
4,20,0.0026,0.0068,0.9371,0.9666
4,21,0.0018,0.0074,0.9417,0.9703
4,22,0.0058,0.0075,0.9575,0.9777
4,23,0.0007,0.0082,0.9368,0.9666
4,24,0.0023,0.0068,0.9477,0.9722
4,25,0.0008,0.007,0.9502,0.974
