Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.0512,0.0178,0.8996,0.9617
1,2,0.0121,0.0128,0.8948,0.9617
1,3,0.0054,0.0234,0.8703,0.9563
1,4,0.0032,0.0152,0.9119,0.9672
1,5,0.0019,0.0096,0.9158,0.9672
1,6,0.0036,0.0097,0.8708,0.9454
1,7,0.0059,0.0101,0.9193,0.9672
1,8,0.0025,0.0108,0.886,0.9508
1,9,0.0008,0.0135,0.9078,0.9617
1,10,0.0007,0.0163,0.9283,0.9727
1,11,0.0005,0.0121,0.9078,0.9617
1,12,0.0009,0.0096,0.9039,0.9617
1,13,0.0046,0.0206,0.886,0.9508
1,14,0.0024,0.0185,0.9005,0.9563
1,15,0.0028,0.0182,0.9078,0.9617
1,16,0.0015,0.0169,0.886,0.9508
1,17,0.0011,0.0153,0.8708,0.9454
1,18,0.0007,0.0169,0.9039,0.9617
1,19,0.0009,0.0176,0.8924,0.9563
1,20,0.0013,0.0142,0.8967,0.9563
1,21,0.0019,0.0163,0.9039,0.9617
1,22,0.0008,0.0154,0.9039,0.9617
1,23,0.0149,0.0132,0.8967,0.9563
1,24,0.0005,0.0126,0.8901,0.9508
1,25,0.0008,0.0152,0.886,0.9508
1,26,0.0005,0.0151,0.8814,0.9508
1,27,0.0008,0.0152,0.8924,0.9563
1,28,0.0013,0.0132,0.8967,0.9563
1,29,0.0014,0.0174,0.8924,0.9563
1,30,0.0021,0.0158,0.8901,0.9508
1,31,0.0019,0.015,0.8967,0.9563
1,32,0.0005,0.0151,0.886,0.9508
1,33,0.0005,0.0145,0.8967,0.9563
1,34,0.0005,0.0182,0.8764,0.9508
1,35,0.0007,0.0177,0.8877,0.9563
1,36,0.0016,0.0164,0.9039,0.9617
1,37,0.002,0.0154,0.8924,0.9563
1,38,0.0009,0.0144,0.8708,0.9454
1,39,0.0114,0.0139,0.8814,0.9508
1,40,0.0004,0.0126,0.886,0.9508
2,1,0.0721,0.0183,0.8967,0.9563
2,2,0.0184,0.0129,0.8967,0.9563
2,3,0.007,0.021,0.8901,0.9508
2,4,0.002,0.0103,0.9254,0.9672
2,5,0.0023,0.0106,0.9254,0.9672
2,6,0.0011,0.0174,0.9254,0.9672
2,7,0.0053,0.0196,0.894,0.9508
2,8,0.0016,0.0111,0.9254,0.9672
2,9,0.0036,0.0177,0.9254,0.9672
2,10,0.0011,0.018,0.9281,0.9672
2,11,0.0012,0.0111,0.9254,0.9672
2,12,0.0007,0.009,0.9367,0.9727
2,13,0.0008,0.0134,0.9254,0.9672
2,14,0.0004,0.0115,0.9254,0.9672
2,15,0.0033,0.0127,0.9146,0.9617
2,16,0.0008,0.0146,0.9146,0.9617
2,17,0.0013,0.0142,0.9367,0.9727
2,18,0.0004,0.0142,0.9146,0.9617
2,19,0.0044,0.0224,0.894,0.9508
2,20,0.0006,0.016,0.9254,0.9672
2,21,0.0005,0.0135,0.9483,0.9781
2,22,0.0006,0.0143,0.9367,0.9727
2,23,0.0015,0.0136,0.9254,0.9672
2,24,0.0007,0.0127,0.9483,0.9781
2,25,0.0005,0.0162,0.9367,0.9727
2,26,0.0009,0.0156,0.9367,0.9727
