Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.2037,0.0981,0.6352,0.8197
1,2,0.0852,0.147,0.6594,0.8634
1,3,0.0634,0.1489,0.6829,0.8415
1,4,0.0846,0.2879,0.609,0.7377
1,5,0.0368,0.1408,0.7002,0.8361
1,6,0.0078,0.1087,0.6967,0.847
1,7,0.0103,0.109,0.7233,0.8525
1,8,0.0138,0.1143,0.7492,0.8579
1,9,0.0181,0.1091,0.7458,0.8197
1,10,0.0028,0.0946,0.7317,0.8415
1,11,0.002,0.089,0.7293,0.8415
1,12,0.0136,0.0908,0.7447,0.8361
1,13,0.0045,0.095,0.7585,0.8415
1,14,0.0026,0.0877,0.7447,0.8579
1,15,0.0046,0.0915,0.7422,0.847
1,16,0.0027,0.0967,0.7337,0.8361
1,17,0.0028,0.091,0.7234,0.8415
1,18,0.0025,0.1108,0.7362,0.8415
1,19,0.0045,0.1099,0.7638,0.8579
1,20,0.021,0.1068,0.7285,0.847
1,21,0.0032,0.0918,0.7492,0.8525
1,22,0.002,0.0897,0.7492,0.8525
1,23,0.0022,0.0955,0.7492,0.8525
1,24,0.0012,0.1064,0.7433,0.8415
1,25,0.0038,0.1083,0.7492,0.8525
1,26,0.0011,0.0986,0.7492,0.8525
1,27,0.0013,0.1,0.7647,0.8634
1,28,0.0039,0.1057,0.7578,0.8525
1,29,0.0033,0.1129,0.7638,0.8579
1,30,0.0017,0.1081,0.7484,0.847
1,31,0.0019,0.1051,0.754,0.8525
1,32,0.0014,0.107,0.7476,0.8415
1,33,0.0026,0.1028,0.7591,0.8579
1,34,0.0034,0.1186,0.7401,0.8634
1,35,0.0011,0.1029,0.7854,0.8743
1,36,0.0017,0.1086,0.7717,0.8579
1,37,0.001,0.1079,0.7615,0.8634
1,38,0.0117,0.101,0.7879,0.8743
1,39,0.0014,0.1232,0.75,0.8415
1,40,0.0008,0.105,0.752,0.8579
