Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.422,0.3204,0.2936,0.7869
1,2,0.2615,0.2226,0.2936,0.7869
1,3,0.217,0.2081,0.2936,0.7869
1,4,0.2149,0.207,0.2936,0.7869
1,5,0.21,0.2064,0.2936,0.7869
1,6,0.2098,0.2052,0.2936,0.7869
1,7,0.2143,0.205,0.2936,0.7869
1,8,0.2159,0.2047,0.2936,0.7869
1,9,0.2057,0.2033,0.2936,0.7869
1,10,0.2056,0.2035,0.2936,0.7869
1,11,0.2053,0.2032,0.2936,0.7869
1,12,0.2091,0.2031,0.2936,0.7869
1,13,0.2086,0.2027,0.2936,0.7869
1,14,0.2138,0.2027,0.2936,0.7869
1,15,0.215,0.2022,0.2936,0.7869
1,16,0.2112,0.2017,0.2936,0.7869
1,17,0.2114,0.2028,0.2936,0.7869
1,18,0.202,0.2026,0.2936,0.7869
1,19,0.2039,0.2024,0.2936,0.7869
1,20,0.2043,0.2022,0.2936,0.7869
