Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.2347,0.1121,0.511,0.8251
1,2,0.1085,0.1144,0.6333,0.8033
1,3,0.0392,0.1877,0.703,0.8197
1,4,0.0293,0.1573,0.6991,0.8361
1,5,0.0119,0.1136,0.7164,0.8306
1,6,0.0045,0.0972,0.7094,0.8415
1,7,0.0013,0.109,0.7289,0.847
1,8,0.0027,0.2426,0.7178,0.8087
1,9,0.0034,0.1028,0.7697,0.8798
1,10,0.0017,0.1067,0.7221,0.8579
1,11,0.0007,0.1071,0.7091,0.8525
1,12,0.0008,0.119,0.7312,0.8525
1,13,0.0008,0.1166,0.7117,0.847
1,14,0.0002,0.1165,0.7709,0.8689
1,15,0.0008,0.132,0.7218,0.8415
1,16,0.0006,0.1338,0.7443,0.8525
1,17,0.0004,0.1369,0.7402,0.847
1,18,0.0002,0.1311,0.7485,0.8579
1,19,0.0009,0.1244,0.7709,0.8689
1,20,0.0002,0.1232,0.7494,0.8579
2,1,0.2364,0.1443,0.7275,0.8525
2,2,0.0987,0.0652,0.7639,0.8798
2,3,0.0565,0.1135,0.6978,0.8087
2,4,0.0336,0.1602,0.7531,0.847
2,5,0.0128,0.0998,0.7326,0.8579
2,6,0.005,0.0913,0.7519,0.8634
2,7,0.0029,0.094,0.7451,0.8634
2,8,0.0025,0.1081,0.7655,0.8743
2,9,0.0015,0.1085,0.7744,0.8852
2,10,0.0014,0.113,0.7744,0.8852
2,11,0.0007,0.1101,0.7964,0.8907
2,12,0.0004,0.109,0.8024,0.8962
2,13,0.0018,0.1294,0.7839,0.8907
2,14,0.0006,0.1168,0.7839,0.8907
2,15,0.0009,0.1146,0.7538,0.8689
2,16,0.0007,0.12,0.7688,0.8798
2,17,0.0012,0.1244,0.7712,0.8689
2,18,0.0006,0.109,0.789,0.8907
2,19,0.0004,0.1071,0.7988,0.8962
2,20,0.0004,0.1101,0.7945,0.8852
3,1,0.2136,0.1206,0.4884,0.8306
3,2,0.0801,0.1343,0.5388,0.8361
3,3,0.0521,0.2243,0.6811,0.8142
3,4,0.0351,0.1044,0.6812,0.8579
3,5,0.0117,0.1264,0.6859,0.8525
3,6,0.0068,0.14,0.6744,0.8525
3,7,0.0072,0.1281,0.6057,0.8251
3,8,0.0015,0.1423,0.6236,0.8361
3,9,0.0013,0.1315,0.6289,0.8251
3,10,0.0011,0.1436,0.6387,0.8306
3,11,0.0024,0.1428,0.6373,0.8306
3,12,0.0007,0.141,0.645,0.8415
3,13,0.001,0.1369,0.6373,0.8306
