Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.3254,0.1917,0.391,0.776
1,2,0.1594,0.1181,0.5175,0.8142
1,3,0.087,0.0977,0.6488,0.8306
1,4,0.0692,0.094,0.6153,0.8142
1,5,0.0482,0.0929,0.6463,0.8197
1,6,0.0348,0.0928,0.6263,0.8197
1,7,0.0253,0.094,0.6236,0.8197
1,8,0.0286,0.0974,0.6561,0.8197
1,9,0.0299,0.1188,0.6413,0.7978
1,10,0.0166,0.0903,0.6734,0.8415
1,11,0.0171,0.0939,0.6805,0.8361
1,12,0.0287,0.0915,0.7207,0.8415
1,13,0.0199,0.0989,0.7135,0.8306
1,14,0.0216,0.0959,0.6662,0.8361
1,15,0.0194,0.0935,0.6633,0.8361
1,16,0.018,0.0891,0.7366,0.8525
1,17,0.0134,0.0965,0.6662,0.8361
1,18,0.0149,0.0979,0.7154,0.8415
1,19,0.0137,0.0931,0.7362,0.847
1,20,0.0273,0.0952,0.7344,0.8579
2,1,0.407,0.1644,0.447,0.7869
2,2,0.155,0.1131,0.5971,0.8087
2,3,0.093,0.0797,0.6535,0.847
2,4,0.0607,0.0598,0.7894,0.8962
2,5,0.0404,0.0584,0.7719,0.8798
2,6,0.0299,0.0486,0.7793,0.8852
2,7,0.0292,0.0492,0.7687,0.8743
2,8,0.0202,0.0547,0.7981,0.8852
2,9,0.0264,0.0668,0.8015,0.8907
2,10,0.024,0.0514,0.7774,0.8798
2,11,0.0179,0.0683,0.785,0.8743
2,12,0.0148,0.0583,0.7989,0.8798
2,13,0.0172,0.0567,0.7955,0.8852
2,14,0.0214,0.0537,0.7955,0.8852
2,15,0.0186,0.0558,0.7709,0.8689
2,16,0.0161,0.052,0.7924,0.8852
2,17,0.0177,0.0625,0.7822,0.8852
2,18,0.0253,0.0537,0.782,0.8798
2,19,0.0153,0.0571,0.7709,0.8689
2,20,0.0155,0.0489,0.8041,0.8962
3,1,0.344,0.2701,0.3092,0.7596
3,2,0.1664,0.1629,0.4348,0.7814
3,3,0.093,0.1268,0.5616,0.8142
3,4,0.0701,0.1137,0.6026,0.8306
3,5,0.0399,0.1083,0.6534,0.8415
3,6,0.0311,0.1128,0.6642,0.8415
3,7,0.0373,0.1043,0.6801,0.847
3,8,0.0254,0.1128,0.6906,0.8525
3,9,0.0198,0.1135,0.6641,0.847
3,10,0.0178,0.1027,0.6627,0.8415
3,11,0.0185,0.119,0.6649,0.8525
3,12,0.0104,0.1102,0.6595,0.8415
3,13,0.0106,0.1057,0.6619,0.847
3,14,0.0136,0.1052,0.6859,0.8525
3,15,0.0144,0.1173,0.6437,0.8415
3,16,0.0083,0.1197,0.6775,0.8579
3,17,0.0122,0.1082,0.6591,0.847
3,18,0.0105,0.1071,0.7022,0.8634
3,19,0.0201,0.1074,0.6395,0.8361
3,20,0.0126,0.1152,0.6591,0.847
4,1,0.2603,0.21,0.3952,0.7869
4,2,0.1651,0.1432,0.5391,0.8306
4,3,0.092,0.112,0.613,0.8306
4,4,0.0737,0.0978,0.6129,0.8361
4,5,0.0389,0.0989,0.6561,0.8525
4,6,0.0367,0.0977,0.6415,0.8525
4,7,0.0274,0.0945,0.689,0.8634
4,8,0.0244,0.0947,0.6872,0.847
4,9,0.0278,0.0999,0.6979,0.8579
4,10,0.0227,0.1049,0.742,0.8634
4,11,0.019,0.0947,0.7666,0.8852
4,12,0.0132,0.1074,0.6979,0.8579
4,13,0.029,0.0993,0.7272,0.8743
4,14,0.0154,0.1036,0.6529,0.8525
4,15,0.0152,0.1082,0.6667,0.8415
4,16,0.0122,0.1119,0.7155,0.8743
4,17,0.009,0.0991,0.7012,0.8743
4,18,0.0148,0.1048,0.6842,0.8689
4,19,0.0131,0.1004,0.7106,0.8634
4,20,0.0109,0.1035,0.7106,0.8634
5,1,0.2847,0.189,0.4748,0.8251
5,2,0.1532,0.1342,0.5377,0.8306
5,3,0.1048,0.1052,0.5706,0.8415
5,4,0.0626,0.0995,0.6603,0.8579
5,5,0.0441,0.0991,0.6724,0.8579
5,6,0.0338,0.105,0.6159,0.8197
5,7,0.0337,0.108,0.6589,0.847
5,8,0.0261,0.1098,0.6135,0.847
5,9,0.0247,0.1065,0.6444,0.8525
5,10,0.0166,0.1137,0.6479,0.8525
5,11,0.0224,0.0933,0.7037,0.8525
5,12,0.0155,0.1122,0.6718,0.8579
5,13,0.0163,0.1009,0.6971,0.847
5,14,0.0187,0.1032,0.6955,0.8579
5,15,0.0171,0.0987,0.6814,0.8361
5,16,0.0174,0.1028,0.6827,0.847
5,17,0.0155,0.1013,0.6957,0.8579
5,18,0.018,0.1107,0.6993,0.8634
5,19,0.0132,0.0976,0.7135,0.8579
5,20,0.0133,0.1091,0.6855,0.847
6,1,0.2774,0.2034,0.289,0.765
6,2,0.166,0.1416,0.6303,0.8306
6,3,0.1007,0.1255,0.6293,0.8415
6,4,0.0599,0.112,0.6848,0.8525
6,5,0.0491,0.1128,0.6765,0.8415
6,6,0.0388,0.1111,0.6936,0.847
6,7,0.0265,0.1105,0.717,0.8579
6,8,0.0282,0.1177,0.7002,0.8361
6,9,0.0258,0.1189,0.715,0.847
6,10,0.0189,0.123,0.6755,0.8197
6,11,0.022,0.1251,0.6627,0.8033
6,12,0.0165,0.11,0.6991,0.8361
