Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.3257,0.1936,0.3778,0.7814
1,2,0.1736,0.1296,0.4997,0.8361
1,3,0.1064,0.12,0.6353,0.8251
1,4,0.055,0.0927,0.672,0.847
1,5,0.0425,0.143,0.6651,0.7923
1,6,0.0229,0.1027,0.6917,0.8361
1,7,0.0151,0.1174,0.6945,0.8361
1,8,0.0181,0.1372,0.6517,0.7923
1,9,0.012,0.1089,0.6742,0.8251
1,10,0.0106,0.1126,0.6971,0.8361
1,11,0.0092,0.1129,0.6949,0.8525
1,12,0.0092,0.1418,0.6748,0.8142
1,13,0.0059,0.1262,0.64,0.8251
1,14,0.0036,0.123,0.6619,0.8251
1,15,0.0046,0.1257,0.6805,0.8251
1,16,0.0037,0.1331,0.6681,0.8251
1,17,0.0035,0.1415,0.6699,0.8251
1,18,0.0027,0.1365,0.6719,0.8306
1,19,0.005,0.1253,0.6483,0.8142
1,20,0.0022,0.1293,0.64,0.8087
1,21,0.0076,0.1224,0.6647,0.8306
1,22,0.0028,0.1318,0.6427,0.8142
1,23,0.003,0.1305,0.6654,0.8142
1,24,0.0033,0.1401,0.674,0.8197
1,25,0.0034,0.1287,0.648,0.8197
1,26,0.0023,0.144,0.6742,0.8251
1,27,0.0048,0.1279,0.6742,0.8251
1,28,0.004,0.1293,0.6729,0.8197
1,29,0.0034,0.1389,0.6729,0.8197
1,30,0.0031,0.1312,0.6418,0.8087
1,31,0.0035,0.1289,0.6598,0.8142
1,32,0.0035,0.1388,0.6835,0.8251
1,33,0.0027,0.1283,0.6519,0.8197
1,34,0.003,0.1376,0.6867,0.8306
1,35,0.0029,0.1358,0.6507,0.8142
1,36,0.0029,0.1358,0.6626,0.8197
1,37,0.0062,0.1262,0.6536,0.8197
1,38,0.0051,0.142,0.6792,0.8251
1,39,0.0063,0.1211,0.6381,0.8197
1,40,0.0039,0.1467,0.6764,0.8197
2,1,0.297,0.1997,0.314,0.776
2,2,0.1636,0.1144,0.5993,0.8415
2,3,0.0928,0.1212,0.6904,0.8306
2,4,0.0615,0.089,0.7054,0.8689
2,5,0.0413,0.1173,0.7485,0.8689
2,6,0.0261,0.1054,0.7451,0.8634
2,7,0.0194,0.0944,0.7503,0.8743
2,8,0.0137,0.1175,0.76,0.8634
2,9,0.0088,0.1144,0.7332,0.8579
2,10,0.0077,0.11,0.7562,0.8689
2,11,0.0096,0.1155,0.7543,0.8634
2,12,0.0045,0.1197,0.7513,0.8689
2,13,0.007,0.1193,0.7578,0.8689
2,14,0.0046,0.1176,0.7546,0.8743
2,15,0.0062,0.1229,0.7461,0.8579
2,16,0.0041,0.1313,0.7601,0.8689
2,17,0.0045,0.1312,0.7426,0.8634
2,18,0.0041,0.1391,0.7767,0.8743
2,19,0.004,0.1276,0.7485,0.8689
2,20,0.0036,0.1316,0.7426,0.8634
2,21,0.0034,0.1319,0.766,0.8743
2,22,0.0049,0.1312,0.7543,0.8634
2,23,0.0046,0.1261,0.7485,0.8689
2,24,0.0065,0.1311,0.7501,0.8634
2,25,0.0036,0.1313,0.7601,0.8689
2,26,0.0032,0.1347,0.7312,0.8525
2,27,0.0028,0.1274,0.7721,0.8798
2,28,0.0057,0.1401,0.7601,0.8689
2,29,0.0042,0.1303,0.766,0.8743
2,30,0.0082,0.124,0.766,0.8689
2,31,0.0051,0.1274,0.766,0.8743
2,32,0.0059,0.1281,0.7688,0.8743
2,33,0.0036,0.1242,0.7485,0.8689
2,34,0.0046,0.1238,0.7485,0.8689
2,35,0.0032,0.1401,0.7568,0.8743
2,36,0.0049,0.1399,0.7543,0.8634
2,37,0.008,0.1188,0.7629,0.8798
2,38,0.0055,0.1291,0.766,0.8743
2,39,0.0037,0.1167,0.7801,0.8798
2,40,0.0041,0.1191,0.7441,0.8579
3,1,0.3458,0.1781,0.484,0.8142
3,2,0.1562,0.1191,0.5259,0.8251
3,3,0.0968,0.0976,0.6038,0.8415
3,4,0.0593,0.0942,0.6404,0.8525
3,5,0.0415,0.0941,0.6395,0.8361
3,6,0.0234,0.0919,0.6488,0.8415
3,7,0.0236,0.1103,0.6363,0.8525
3,8,0.016,0.0918,0.6845,0.8689
3,9,0.0162,0.0892,0.6848,0.8579
3,10,0.0116,0.1084,0.6891,0.8525
3,11,0.0081,0.094,0.6495,0.8415
3,12,0.0113,0.0928,0.6386,0.8361
3,13,0.0061,0.0919,0.6488,0.8415
3,14,0.005,0.0973,0.6638,0.8579
3,15,0.0058,0.1081,0.6469,0.847
3,16,0.0041,0.0978,0.6555,0.8361
3,17,0.0077,0.0926,0.6801,0.8415
3,18,0.0061,0.0971,0.6765,0.8415
3,19,0.0047,0.093,0.6965,0.8525
3,20,0.0047,0.0955,0.6615,0.8525
3,21,0.0055,0.0992,0.6744,0.8525
3,22,0.0049,0.1,0.6999,0.8579
3,23,0.0044,0.0986,0.689,0.8525
3,24,0.0099,0.1,0.681,0.8579
3,25,0.0038,0.0974,0.6867,0.847
3,26,0.004,0.1055,0.6957,0.8579
3,27,0.0027,0.0999,0.6488,0.8415
3,28,0.0072,0.0944,0.6965,0.8525
3,29,0.0039,0.0935,0.6549,0.847
3,30,0.003,0.0975,0.6391,0.8361
3,31,0.0041,0.101,0.6448,0.8415
3,32,0.0031,0.0966,0.6525,0.8415
3,33,0.0042,0.1003,0.6789,0.8525
3,34,0.0046,0.1052,0.6572,0.8525
3,35,0.004,0.0984,0.6765,0.8415
3,36,0.0043,0.1066,0.6578,0.8525
3,37,0.0067,0.1026,0.689,0.8525
3,38,0.0029,0.0977,0.6949,0.8525
3,39,0.0068,0.0911,0.6973,0.8525
3,40,0.0035,0.0988,0.7034,0.8579
4,1,0.2433,0.2133,0.3809,0.7978
4,2,0.1557,0.1582,0.4858,0.8142
4,3,0.0974,0.1286,0.5959,0.8525
4,4,0.0538,0.1219,0.6078,0.8306
4,5,0.041,0.1104,0.6449,0.847
4,6,0.0235,0.1116,0.6615,0.8525
4,7,0.0194,0.1139,0.6602,0.8415
4,8,0.0195,0.1159,0.6712,0.8579
4,9,0.0107,0.1195,0.6418,0.8306
4,10,0.0069,0.1312,0.6619,0.847
4,11,0.009,0.1292,0.6549,0.847
4,12,0.0048,0.1377,0.6314,0.8415
4,13,0.0046,0.1373,0.668,0.8525
4,14,0.0055,0.1298,0.668,0.8525
4,15,0.0049,0.1367,0.6569,0.8415
4,16,0.0062,0.1305,0.6465,0.8361
4,17,0.0042,0.1425,0.6549,0.847
4,18,0.0052,0.1364,0.6409,0.8415
4,19,0.0054,0.1345,0.6549,0.847
4,20,0.004,0.1382,0.6599,0.8579
4,21,0.0037,0.141,0.6651,0.8525
4,22,0.0053,0.1299,0.6681,0.8525
4,23,0.0063,0.1352,0.6626,0.847
4,24,0.0047,0.1341,0.6619,0.847
4,25,0.0037,0.1318,0.6614,0.8525
4,26,0.0083,0.1316,0.668,0.8525
4,27,0.0039,0.1343,0.668,0.8525
4,28,0.0045,0.1287,0.671,0.8525
4,29,0.004,0.1316,0.6626,0.847
4,30,0.0032,0.131,0.645,0.8415
4,31,0.005,0.1413,0.6626,0.847
4,32,0.0038,0.1315,0.6586,0.847
4,33,0.0062,0.1455,0.6512,0.847
4,34,0.0037,0.1386,0.6712,0.8579
4,35,0.0045,0.1363,0.668,0.8525
4,36,0.0044,0.1247,0.6742,0.8579
4,37,0.0049,0.1314,0.6586,0.847
4,38,0.0038,0.1425,0.6488,0.8415
4,39,0.0062,0.1278,0.6586,0.847
4,40,0.0074,0.1298,0.6586,0.847
5,1,0.2709,0.1966,0.385,0.8033
5,2,0.152,0.1386,0.498,0.8197
5,3,0.0936,0.1093,0.5928,0.8361
5,4,0.0635,0.1301,0.6684,0.8579
5,5,0.0375,0.1144,0.6381,0.847
5,6,0.0272,0.1293,0.6651,0.8525
5,7,0.0328,0.1498,0.6408,0.8306
5,8,0.0138,0.1377,0.6589,0.847
5,9,0.0173,0.1405,0.6647,0.8525
5,10,0.0125,0.1382,0.6626,0.847
5,11,0.0107,0.1483,0.6586,0.847
5,12,0.0103,0.1438,0.6468,0.8361
5,13,0.0114,0.1457,0.6509,0.847
5,14,0.0091,0.1414,0.6586,0.847
5,15,0.0094,0.1479,0.6526,0.8415
5,16,0.0095,0.1558,0.6586,0.847
5,17,0.0079,0.1498,0.6676,0.8579
5,18,0.0079,0.1476,0.6526,0.8415
5,19,0.0092,0.1473,0.6647,0.8525
5,20,0.0083,0.1558,0.6887,0.8579
5,21,0.0077,0.1645,0.6634,0.8361
5,22,0.0103,0.1421,0.6859,0.8525
5,23,0.0072,0.1609,0.6557,0.8361
5,24,0.009,0.1453,0.6611,0.8525
5,25,0.0107,0.1577,0.6504,0.8361
5,26,0.0101,0.1597,0.6616,0.8525
5,27,0.0078,0.1484,0.6529,0.8415
5,28,0.007,0.1469,0.6549,0.847
5,29,0.0068,0.148,0.6611,0.8525
5,30,0.0071,0.1491,0.6616,0.8525
5,31,0.0083,0.1386,0.671,0.8579
5,32,0.0069,0.1458,0.6619,0.847
5,33,0.0095,0.17,0.6633,0.8361
5,34,0.0074,0.146,0.668,0.8525
5,35,0.0087,0.1526,0.6572,0.8525
5,36,0.0088,0.1457,0.6488,0.8415
5,37,0.0085,0.1464,0.6509,0.847
5,38,0.0071,0.1575,0.6887,0.8579
5,39,0.0107,0.152,0.6819,0.8525
5,40,0.0085,0.1571,0.6825,0.8525
6,1,0.2879,0.2088,0.3594,0.7814
6,2,0.1721,0.1434,0.5197,0.8415
6,3,0.1096,0.1192,0.6395,0.8197
6,4,0.0611,0.1144,0.7167,0.847
6,5,0.0434,0.0972,0.7727,0.8743
6,6,0.0298,0.1033,0.7701,0.8743
6,7,0.0193,0.0942,0.7697,0.8798
6,8,0.01,0.1067,0.7739,0.8798
6,9,0.0095,0.1141,0.7447,0.847
6,10,0.0114,0.1085,0.7568,0.8634
6,11,0.0102,0.1358,0.7459,0.8415
6,12,0.0055,0.1085,0.736,0.847
6,13,0.0056,0.1008,0.7633,0.8743
6,14,0.008,0.1097,0.763,0.8634
6,15,0.0064,0.1045,0.7467,0.8579
6,16,0.0059,0.1073,0.7605,0.8634
6,17,0.0038,0.106,0.754,0.8689
6,18,0.0045,0.1085,0.7659,0.8634
6,19,0.0048,0.1031,0.7659,0.8634
6,20,0.011,0.1166,0.7659,0.8634
6,21,0.0069,0.1098,0.749,0.8634
6,22,0.0041,0.1099,0.7376,0.8525
